Watershed,Site,SampleDate,Organization,UseOrder,Protocol,HitchDate,Hitch,Crew,VisitPhase,VisitStatus,VisitID,Panel,Category,StreamName,VisitObjective,SideChannel,VisitYear,x_albers,y_albers,LON_DD,LAT_DD,Stream,Elev_M,Block,OwnerType,ValleyClass,Channel_Type,Strah,HUC4,HUC5,HUC6,LEVEL3_NM,LEVEL4_NM,CEC_L1,CEC_L2,Ppt,CUMDRAINAG,NatClass,DistClass,DistPrin1,NatPrin1,NatPrin2,MeanU,Metric #,ModelVersion,GenerationDate,SlowWater_Area,SlowWater_Ct,SlowWater_Vol,SlowWater_Pct,FstTurb_Area,FstTurb_Ct,FstTurb_Vol,FstTurb_Pct,FstNT_Area,FstNT_Ct,FstNT_Vol,FstNT_Pct,Grad,Sin,Lgth_Wet,Area_Wet,Area_Bf,WetVol,WetWdth_Int,DetrendElev_SD,BfWdthInt,DpthThlwg_UF_CV,BfVol,Lgth_WetChnl,WetBraid,Lgth_BfChnl,BfBraid,Wet_QIsland_Ct,Bf_QIsland_Ct,DpthWet_SD,BfWdth_CV,BfWdth_Avg,BfWDRat_CV,BfWDRat_Avg,WetWdth_CV,WetWdth_Avg,WetWDRat_CV,WetWDRat_Avg,DpthBf_Max,DpthBf_Avg,BfSCWdth,WetSCWdth,SlowWater_Freq,FstTurb_Freq,FstNT_Freq,DpthThlwg_Avg,PoolResidDpth,WetSCL_Area,SCSm_Area,WetSC_Pct,SCSm_Freq,SCSm_Ct,SCSm_Vol,Q,SubEmbed_Avg,SubEmbed_SD,SubD16,SubD50,SubD84,SubLT2,SubLT6,Cond,Alk,RipCovBigTree,RipCovConif,RipCovGrnd,RipCovNonWood,RipCovUstory,RipCovWood,LWVol_Wet,LWVol_Bf,LWVol_WetSlow,LWVol_BfSlow,LWVol_WetFstTurb,LWVol_WetFstNT,DriftBioMass,RipCovCanNone,Ucut_Area,SolarSummr_Avg,RipCovUstoryNone,RipCovGrndNone,SubEstGrvl,FishCovLW,SubEstSandFines,LWFreq_Wet,FishCovTVeg,FishCovArt,FishCovNone,LWFreq_Bf,FishCovAqVeg,SubEstBldr,SubEstCbl,FishCovTotal,UcutLgth_Pct,UcutArea_Pct,SC_Area,SC_Area_Pct,ChnlUnitTotal_Ct,LWVol_BfFstNT,RS_name,Geo_Cond,CU_Ct,CU_Freq
Yankee Fork,YFI00001-001524,2013-09-17,Watershed Solutions,1,CHaMP 2013,2013-06-30,Scouting Hitch,Boyd Crew,Data Approved,Released to Public,1418,Rotating Panel 1,Depositional,Yankee Fork,Primary Visit,Yes,2013,-1470831.75439,2524937.13011,-114.63607,44.41211,Yankee Fork,2065,Rotating Panel 1 - Depositional,Public Lands,Depositional,Meandering,4,17060201,1706020105,170602010502,16,16k,6,6.2,26.26,155.915,MT - II.A.2,I.B.1,-1.39,-1.04,2.31,43.29,2558569,0.0.4,NA,634.171,5,237.0803,25.9283,824.0629,2,113.8296,33.692,987.6343,4,200.6053,40.3797,0.5186,1.185,284.4227,2437.935,3662.4134,551.5152,8.5715,0.6763,13.161,0.4794,1928.2106,284.4227,1,278.2785,1,0,0,0.1739,0.2557,12.8865,0.3711,32.1315,0.2354,8.5276,0.5553,42.3154,1.8647,0.4655,NA,NA,1.7579,0.7032,1.4064,0.3944,0.4758,0,0,0,0,0,0,0.5935,3.3281,2.6046,21,49,83,1.6667,4.3333,21,20,3.1,15.5,44.5,21,32.2,64.8,19.1608,34.6763,13.5574,15.1998,2.0645,3.5389,NA,90.9,4.26,76.8079,67.8,55.5,52.4411,11.4171,18.0408,18.9858,4.0401,0,88.5829,35.1589,0,5.1219,24.3961,15.4572,1.3624,0.1747,0,0,11,16.2663,pcv_lowSin_margin_controlled_dfp,good,11,3.8674831509580634
Yankee Fork,YFI00001-001512,2013-08-26,Watershed Solutions,3,CHaMP 2013,2013-06-30,Scouting Hitch,Boyd Crew,Data Approved,Released to Public,1419,Rotating Panel 1,Transport,Yankee Fork,Primary Visit,Yes,2013,-1469362.46945,2526199.15757,-114.62102,44.42579,Yankee Fork,2079,Rotating Panel 1 - Transport,Public Lands,Depositional,Island_braided,4,17060201,1706020105,170602010502,16,16k,6,6.2,27.41,148.606,MT - II.A.2,I.B.1,-1.45,-1.21,2.3,41.47,2558570,0.0.4,NA,746.7257,6,207.6558,23.5466,1531.1234,3,173.6035,48.2811,893.417,1,128.71,28.1723,0.4995,1.0642,274.9851,3171.5064,4413.0598,509.9715,11.5334,0.5513,16.4042,0.5369,1667.9272,274.9851,1,269.0203,1,0,0,0.13,0.2066,16.7081,0.3754,46.1502,0.2394,11.3223,0.5193,75.7723,1.2974,0.384,NA,NA,2.1819,1.091,0.3637,0.2786,0.2606,0,0,0,0,0,0,0.5902,5.4167,5.292,28,46,82,0.7778,2.6667,27,28,1.5,16,42.5,21,23.5,56,19.6456,33.5943,12.6876,16.9699,2.0981,3.6877,NA,89,28.6,69.6492,76.5,57.5,37.6675,4.2608,14.7752,18.9101,2.3955,0,85.8585,29.0925,9.6559,6.3563,41.201,16.3122,11.4552,0.9018,0,0,10,5.3596,cv_boulder_bed,moderate,10,3.6365606718327648
Yankee Fork,YFI00001-000482,2013-09-18,Watershed Solutions,2,CHaMP 2013,2013-06-30,Scouting Hitch,Boyd Crew,Data Approved,Released to Public,1428,Rotating Panel 1,Transport,West Fork Yankee Fork,Primary Visit,No,2013,-1485903.32502,2526144.30551,-114.8251,44.39625,West Fork Yankee Fork,2033,Rotating Panel 1 - Transport,Public Lands,Transport,Pool-riffle,3,17060201,1706020105,170602010504,16,16k,6,6.2,25.36,61.672,MT - II.A.2,I.A,-1.91,-1.19,2.27,29.82,2558571,0.0.4,NA,199.2227,3,53.3248,16.2198,827.8981,4,116.6245,67.4036,201.1488,1,37.1041,16.3766,0.9768,1.1615,195.8453,1228.4601,1682.8336,207.0534,6.2726,1.4074,8.6573,0.3238,833.4692,195.8453,1,194.3823,1,0,0,0.1176,0.1276,8.6426,0.2863,22.1349,0.25,6.2149,0.3582,29.9949,1.026,0.4644,NA,NA,1.5318,2.0424,0.5106,0.2883,0.2293,0,0,0,0,0,0,0.3408,5.8594,3.9416,0.02,35,130,70.3333,70.6667,62,36,4.5,18.5,59.5,27.5,32.5,74,3.0302,11.3901,1.4226,5.3558,1.0366,0.571,NA,90.5,25.29,68.0116,67.5,40.5,26.6943,5.9605,36.9594,6.6379,7.0226,0,87.0955,17.3606,4.2386,9.6205,25.2125,17.2216,15.5735,2.0587,0,0,8,3.4967,pcv_lowSin_planControlled_gravel_bed,good,8,4.084856772156391
Yankee Fork,YFI00001-000427,2013-10-05,Watershed Solutions,2,CHaMP 2013,2013-06-30,Scouting Hitch,Boyd Crew,Data Approved,Released to Public,1429,Rotating Panel 1,Depositional,Yankee Fork,Primary Visit,Yes,2013,NA,NA,-114.67643,44.39532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2558572,0.0.4,NA,315.2335,2,123.0538,14.1984,1591.5324,4,485.6603,71.684,313.4391,2,92.4963,14.1176,1.1993,1.0545,244.3354,2219.9947,3055.5524,701.2105,9.0858,1.2244,12.5282,0.2109,2212.8205,244.3354,1,243.8937,1,0,0,0.1527,0.12,12.5205,0.1827,17.2735,0.0984,9.0358,0.1772,28.8863,1.3552,0.721,NA,NA,0.8185,1.6371,0.8185,0.4784,0.2638,0,0,0,0,0,0,1.1891,4.2,3.2064,16,90,376,0.3333,2,172,44,11.5,21,34,27.5,43.5,64.5,5.7506,7.0578,3.9041,3.9041,0.0691,1.7774,NA,85.5,3.78,59.131100000000004,56.5,66,34.4954,4.1726,10.5227,5.3206,14.2159,2.7095,78.902,6.9576,0,28.9665,20.9497,21.098,2.0464,0.1703,0,0,8,2.8997,cv_occ_floodplain_pockets,moderate,8,3.2741878581654564
Yankee Fork,YFI00001-000214,2013-09-19,Watershed Solutions,3,CHaMP 2013,2013-06-30,Scouting Hitch,Boyd Crew,Data Approved,Released to Public,1432,Rotating Panel 1,Source,West Fork Yankee Fork,Primary Visit,No,2013,-1491203.59821,2526129.11419,-114.89046,44.38673,West Fork Yankee Fork,2218,Rotating Panel 1 - Source,Public Lands,Source,Step-pool,2,17060201,1706020105,170602010504,16,16k,6,6.2,29.8,13.043,MT - II.A.2,I.A,-1.91,-1.19,2.27,7.92,2558573,0.0.4,NA,40.7859,4,10.4642,10.2007,352.7672,6,56.2335,88.2285,6.2805,1,1.0866,1.5708,5.8999,1.1725,119.4873,399.8336,494.7259,67.7842,3.3462,0.8841,4.1517,0.413,229.5888,119.4873,1,119.1619,1,0,0,0.1145,0.1716,4.2345,0.254,14.6559,0.206,3.3991,0.3896,20.9589,1.0565,0.3958,NA,NA,3.3476,5.0215,0.8369,0.2741,0.1385,0,0,0,0,0,0,0.1816,1.7619,3.3482,30,69,230,0.8,3.2,50,32,12.5,19,20,11.5,20.5,48,19.626,28.4597,4.3678,4.9932,15.1072,0.151,NA,81,8.53,58.8393,79.5,80,36.3017,9.0235,8.8258,38.4978,6.7284,0,84.0851,57.7467,4.6852,18.3811,30.6832,20.4371,10.4614,2.1334,0,0,11,0.1714,cv_boulder_bed,good,11,9.205999298670235
Yankee Fork,YFI00001-000106,2013-09-21,Watershed Solutions,1,CHaMP 2013,2013-06-30,Scouting Hitch,Boyd Crew,Data Approved,Released to Public,1433,Rotating Panel 1,Transport,Lightning Creek,Primary Visit,No,2013,-1483052.46231,2525441.82386,-114.78818,44.39509,Lightning Creek,2016,Rotating Panel 1 - Transport,Public Lands,Source,Plane-bed,2,17060201,1706020105,170602010504,16,16k,6,6.2,24.84,40.707,MT - II.A.2,I.A,-2.27,-1.2,2.34,17.73,2558574,0.0.4,NA,209.3993,8,34.618,26.5243,580.062,4,60.9921,73.4757,0,0,0,0,2.0217,1.1224,160.6443,789.4611,1145.7813,95.6102,4.9143,1.1668,7.2085,0.3752,528.3041,160.6443,1,158.9484,1,0,0,0.0814,0.1619,7.1768,0.2119,18.9054,0.1899,4.8906,0.3528,32.7736,1.0086,0.4376,NA,NA,4.9799,2.49,0,0.2139,0.1825,0,0,0,0,0,0,0.1351,35.2708,26.0573,0.1337,47,183,38.7257,47.9028,119,65,3.5,44,58,26,49,106,0.8866,4.4974,0.1603,2.4635,0.7263,0,NA,75,4.41,49.996,51,42,17.0814,9.8451,29.6744,4.3575,7.6376,0,84.0247,21.7873,1.9529,24.6176,25.9514,19.4356,2.9568,0.5586,0,0,12,0,cv_occ_floodplain_pockets,good,12,7.469919567641056
Wenatchee,WENMASTER-000269,2013-06-27,Terraqua Inc.,1,CHaMP 2013,2013-06-24,Hitch #1 (JE)- June 25 - June 28 (Wenatchee),Joe Crew,Data Approved,Released to Public,1437,Annual,Source-Public,Tronsen Creek,Primary Visit,No,2013,NA,NA,-120.5893,47.37691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2558575,0.0.4,NA,223.3338,9,31.8603,42.8596,261.3185,7,23.3103,50.1492,36.4302,1,3.9179,6.9913,1.4594,1.5129,168.1677,521.0402,968.0053,59.0885,3.0983,0.7968,6.0467,0.4439,185.7787,168.1677,1,160.0892,1,0,0,0.0788,0.2897,5.8188,0.3702,19.1536,0.1884,3.0773,0.4831,30.7887,0.651,0.2179,NA,NA,5.3518,4.1625,0.5946,0.1885,0.1717,0,0,0,0,0,0,0.068,5.6855,7.4417,1,40,114,32.6714,39.9057,190,62,19.5,42.5,57.5,25,53,113,20.8946,25.6828,15.7885,19.5228,5.1061,0,NA,72.5,14.77,NA,47,42.5,45.622,18.8033,26.6553,29.7322,33.5171,0,45.294,35.084,2.9423,7.1288,20.2877,55.2627,9.0386,2.8347,0,0,17,0,pcv_lowSin_planControlled_dfp,poor,17,10.108956714041996
Wenatchee,WENMASTER-000209,2013-06-27,Terraqua Inc.,2,CHaMP 2013,2013-06-24,Hitch #1 (KC)- June 25 - June 28 (Wenatchee),Kevin Crew,Data Approved,Released to Public,1438,Rotating Panel 3,Source-Public,Tronsen Creek,Primary Visit,Yes,2013,NA,NA,-120.5591,47.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2558576,0.0.4,NA,100.3409,15,9.9245,48.234,94.4846,9,7.1542,45.4189,13.204,3,1.0981,6.3472,6.2888,1.2791,115.2718,208.0285,400.3568,18.1767,1.8047,0.6353,3.4326,0.5434,58.5613,115.2718,1,116.635,1,0,0,0.0714,0.559,3.3082,0.7646,20.0106,0.3867,1.7741,0.6224,21.2655,0.8162,0.1616,NA,NA,13.0127,7.8076,2.6025,0.1461,0.1571,0,0,0,0,0,0,0.016,0.7083,1.2147,15,30,56,12.7333,25.6667,135.5,60,4,12,14.7,12.7,7.8,17.4,7.0543,23.6689,4.6532,11.2749,2.2628,0.1383,NA,92.4,3.63,NA,92.2,85.3,52.9899,16.889,15.4704,54.6534,2.2681,0,80.36,91.0891,0.4829,0.2768,31.2629,19.64,3.6869,1.745,0,0,27,0.9622,cv_occ_floodplain_pockets,moderate,27,23.42290135141466
Upper Grande Ronde,ORW03446-101102,2013-07-08,Oregon Department of Fish and Wildlife,1,CHaMP 2013,2013-06-25,UGR_Medium_Streams,Chris Horn Crew,Data Approved,Released to Public,1439,Rotating Panel 3,Grande Ronde Steelhead-Depositional-Private,Phillips Creek,Primary Visit,No,2013,-1700519.2045,2706264.6941,-117.97459,45.56706,Phillips Creek,NA,Rotating Panel 3 - Grande Ronde Steelhead-Depositional-Private,Private Lands,Depositional,Confined,3,17060104,1706010411,170601041101,NA,NA,NA,NA,6.7,93.636,MT - I.A.2,II.B.1,1.37,-1.06,-0.2,NA,2558577,0.0.4,NA,257.2885,4,56.8898,23.7954,725.2536,5,92.7776,67.0752,98.7126,1,12.0394,9.1294,1.2313,1.1152,199.6008,1081.2547,1977.0909,161.7068,5.4171,0.64,10.0529,0.4635,1014.2472,199.6008,1,196.6688,1,0,0,0.103,0.1274,10.0282,0.1913,20.5711,0.1702,5.3971,0.3436,38.4275,1.3563,0.5067,NA,NA,2.004,2.505,0.501,0.2408,0.3622,0,0,0,0,0,0,0.0795,4.0179,6.1042,31,73,127,1.3048,3.1714,36.2,36,17.5,17.3,40,23.4,40.9,78.7,3.0935,5.7782,1.4814,1.6935,1.6121,0,NA,78.8,1.39,50.1909,59.1,60,43.6495,4.7067,16.69,3.006,5.3631,0,85.9076,9.018,4.0226,14.1664,23.775,14.0924,0.7515,0.1286,0,0,10,0,cv_gravel_bed,moderate,10,5.00999995992
Upper Grande Ronde,ORW03446-157422,2013-07-08,Oregon Department of Fish and Wildlife,2,CHaMP 2013,2013-06-25,UGR_Medium_Streams,Chris Horn Crew,Data Approved,Released to Public,1440,Rotating Panel 3,Grande Ronde Steelhead-Transport-Private,Phillips Creek,Primary Visit,Yes,2013,-1703030.1267,2707436.403,-118.00933,45.57213,Phillips Creek,NA,Rotating Panel 3 - Grande Ronde Steelhead-Transport-Private,Private Lands,Transport,Pool-riffle,2,17060104,1706010411,170601041101,NA,NA,NA,NA,7.02,59.324,MT - I.A.2,II.B.1,1.37,-1.06,-0.2,NA,2558578,0.0.4,NA,257.5121,6,52.1993,26.1907,542.8129,8,41.3799,55.2077,182.8946,1,16.728,18.6016,1.4888,1.187,163.1689,983.3031,1673.2819,110.3071,6.0263,0.5035,10.8067,0.6203,539.7501,191.0153,1.1707,179.814,1.1613,1,1,0.1192,0.2784,10.5315,0.5818,43.1476,0.3832,5.7126,0.6467,41.4906,1.1339,0.2921,3.1869,1.6537,3.6772,4.9029,0.6129,0.2367,0.4824,32.744,0,3.3303,0,0,0,0.0441,15.8553,18.7721,20,47,91,1.7333,3.7333,49.5,28,9.5,23.7,40,20.5,24.2,61.4,6.8217,10.6223,1.4366,1.5859,4.1449,0.0488,NA,82.3,1.58,48.1784,75.8,60,54.9584,1.7939,7.775,12.2572,2.2777,0,95.1468,26.3531,1.1557,3.0265,33.4919,5.2273,1.5322,0.1607,0,0,15,0.4079,cv_gravel_bed,moderate,15,9.192928309255011
Upper Grande Ronde,CBW05583-062890,2013-07-01,Oregon Department of Fish and Wildlife,11,CHaMP 2013,2013-06-25,ODFW_CRITFC_Five,Chris Horn Crew,Data Approved,Released to Public,1441,Rotating Panel 3,Catherine Creek Chinook,Milk Creek,Primary Visit,No,2013,-1691183.34631,2653760.65304,-117.70586,45.12637,Milk Creek,1027.58,Rotating Panel 3 - Catherine Creek Chinook,Private Lands,Transport,Pool-riffle,2,17060104,1706010405,170601040503,11,11e,6,6.2,6.5,24.899,MT - I.A.2,I.B.2,0.21,-0.64,0.08,7.26,2558579,0.0.4,NA,114.0453,5,13.2401,28.1889,245.9572,5,15.9819,60.7941,44.5719,3,4.3572,11.017,1.2645,1.1145,128.3573,404.8131,457.7813,33.5793,3.1538,0.4381,3.584,0.4392,85.3529,128.3573,1,127.7276,1,0,0,0.0544,0.1457,3.5684,0.3503,20.1311,0.1696,3.143,0.7136,43.7882,0.4789,0.1869,NA,NA,3.8954,3.8954,2.3372,0.1175,0.1376,0,0,0,0,0,0,0.0171,5.2763,6.9833,16,48,105,42.9565,44.4348,103.5,60,5,2.1,37,16.7,26.4,59,0.5004,2.5426,0.179,0.7094,0.1709,0.1505,0.0011,87.7,1.75,26.22,73.6,63,13.1823,16.0987,58.1708,14.8024,13.5553,0,77.1768,24.1513,0,0.7427,27.9042,29.6541,1.5582,0.4323,0,0,13,1.524,ucv_lowSin_gravel_bed,moderate,13,10.127978696965423
Upper Grande Ronde,CBW05583-269738,2013-08-27,Oregon Department of Fish and Wildlife,6,CHaMP 2013,2013-06-25,ODFW_CRITFC_Five,Chris Horn Crew,Data Approved,Released to Public,1442,Rotating Panel 3,Catherine Creek Chinook,South Fork Catherine Creek,Primary Visit,Yes,2013,-1686240.48812,2651428.08234,-117.6379,45.11599,South Fork Catherine Creek,1145.1,Rotating Panel 3 - Catherine Creek Chinook,Public Lands,Depositional,Confined,3,17060104,1706010405,170601040502,11,11e,6,6.2,8.16,61.91,MT - I.A.2,I.B.1,-1.01,-1.74,0.36,30.6,2558580,0.0.4,NA,299.643,6,69.8035,22.8935,940.4985,10,163.4251,71.8566,68.7137,1,13.6432,5.2499,2.9738,1.1051,203.4836,1308.8951,1862.0899,246.8719,6.4324,0.6774,9.0844,0.2873,728.0462,231.8991,1.1396,233.1629,1.1375,1,1,0.1036,0.3013,7.5469,0.43,23.2458,0.2762,6.0541,0.5722,33.5575,0.8564,0.3608,5.0891,3.2106,2.9486,4.9144,0.4914,0.3003,0.2405,76.2321,0,5.8243,0,0,0,0.2491,17.1915,22.2473,6,69,196,14.5556,17.4444,63.9,36,13,34.5,26,16.1,23.7,53.4,14.6043,25.1299,9.569,17.1242,5.0354,0,0.0014,80.2,1.8,36.99,76.3,74,36.2051,3.8188,15.5071,12.7774,6.3636,0,90.9752,28.5035,0,11.8841,35.6176,10.1824,1.3515,0.1375,0,0,17,0,cv_occ_floodplain_pockets,good,17,8.354481638815118
Upper Grande Ronde,CBW05583-527786,2013-08-20,Oregon Department of Fish and Wildlife,3,CHaMP 2013,2013-06-25,ODFW_CRITFC_Five,Chris Horn Crew,Data Approved,Released to Public,1443,Annual,Catherine Creek Chinook,Catherine Creek,Primary Visit,Yes,2013,-1690005.05911,2652658.12788,-117.68809,45.11911,Catherine Creek,1048.84,Annual - Catherine Creek Chinook,Private Lands,Depositional,Confined,4,17060104,1706010405,170601040503,11,11e,6,6.2,6.94,168.64,MT - I.A.2,I.B.2,0.21,-0.64,0.08,90.61,2558581,0.0.4,NA,1195.4121,5,332.8639,38.4069,1767.5864,5,333.0781,56.79,149.4954,1,16.9298,4.8031,1.4091,1.1431,273.7764,3112.5007,4249.9993,682.8719,11.3688,0.7417,15.3382,0.2879,2316.8969,460.0602,1.6804,425.3837,1.5352,3,3,0.1497,0.3155,11.6073,0.5224,23.5277,0.2783,9.0074,0.5458,33.628,1.5001,0.5151,7.2951,3.9893,1.8263,1.8263,0.3653,0.4049,0.3558,227.2463,0,7.3011,0,0,0,0.6643,3.6909,7.7933,26,67,140,7.5556,9.5556,43.7,38,6.5,11.6,31,22.1,34.7,54.4,10.8285,34.8061,2.8045,13.4424,7.9061,0.1179,2e-4,89.2,7.34,51.9796,65.3,69,49.064,3.5118,7.2536,16.802,3.635,0,93.4685,39.8135,0,5.3679,38.3145,7.1469,3.6526,0.2358,0,0,11,0.1179,pcv_margin_controlled_dfp,moderate,11,4.017877362694519
Upper Grande Ronde,dsgn4-000001,2013-08-20,Oregon Department of Fish and Wildlife,4,CHaMP 2013,2013-06-25,ODFW_CRITFC_Five,Chris Horn Crew,Data Approved,Released to Public,1444,Annual,Catherine Creek Chinook,North Fork Catherine Creek,Primary Visit,No,2013,-1686493.54558,2652178.40743,-117.64319,45.12205,North Fork Catherine Creek,1133.02,Annual - Catherine Creek Chinook,Private Lands,Depositional,Island_braided,3,17060104,1706010405,170601040501,NA,NA,NA,NA,8.33,88.157,MT - II.B.1.a,I.B.1,-1.01,-2.09,0.45,NA,2558582,0.0.4,NA,118.8788,2,30.6295,6.0917,1832.598,3,345.7072,93.9083,0,0,0,0,2.3359,1.0686,248.642,1951.4768,2577.4119,376.3368,7.8485,0.6157,10.3852,0.2259,1161.3925,248.642,1,248.1802,1,0,0,0.1041,0.1459,10.2652,0.2439,21.4355,0.1937,7.8476,0.3013,37.1505,1.2247,0.4589,NA,NA,0.8044,1.2066,0,0.331,0.3295,0,0,0,0,0,0,0.6064,2.94,4.4097,26,80,175,0,2,88.1,42,1.1,10.2,27.6,13.7,16.2,33.9,3.5165,3.7367,0.4435,0.4435,3.0731,0,5e-4,96.2,0.7,58.5687,83.8,72.4,41.2337,0.8376,5.1486,8.0437,0.1142,0,99.1624,9.2502,0,5,48.6178,0.9519,0.5027,0.0359,0,0,5,0,cv_occ_floodplain_pockets,moderate,5,2.0109233355587555
Upper Grande Ronde,dsgn4-000093,NA,NA,2,CHaMP 2013,NA,NA,NA,Quality Assurance,In Q/A,1445,Annual,Grande Ronde Steelhead-Transport-Public,Meadow Creek,Primary Visit,<none>,NA,-1755257.70701,2686813.72231,-118.59725,45.28244,Meadow Creek,1225.8,Annual - Grande Ronde Steelhead-Transport-Public,Public Lands,Transport,Pool-riffle,3,17060104,1706010402,170601040202,NA,NA,NA,NA,6.88,102.197,MT - I.A.1,I.B.1,-0.8,-0.47,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ucv_lowSin_gravel_bed,moderate,NA,NA
Upper Grande Ronde,dsgn4-000094,2013-07-02,Oregon Department of Fish and Wildlife,3,CHaMP 2013,2013-06-25,UGR_Medium_Streams,Chris Horn Crew,Data Approved,Released to Public,1446,Annual,Grande Ronde Steelhead-Transport-Public,Fly Creek,Primary Visit,No,2013,-1748288.4097,2667095.72463,-118.45198,45.12483,Fly Creek,1311.22,Annual - Grande Ronde Steelhead-Transport-Public,Public Lands,Transport,Pool-riffle,4,17060104,1706010401,170601040108,NA,NA,NA,NA,7.3,105.501,MT - I.A.2,I.B.1,-0.81,-0.81,0.28,NA,2558583,0.0.4,NA,120.145,3,24.8869,16.7202,415.469,6,36.4158,57.8195,182.9484,3,24.9621,25.4603,0.9116,1.3315,159.1983,718.5626,1207.367,86.2647,4.5136,0.479,7.9247,0.4271,340.5714,159.1983,1,152.3545,1,0,0,0.0923,0.222,7.9579,0.2977,22.0897,0.2644,4.4342,0.4782,30.2007,0.8505,0.321,NA,NA,1.8844,3.7689,1.8844,0.2084,0.3735,0,0,0,0,0,0,0.0563,3.5,3.804,13,36,71,53.3333,57.4444,74.5,33,1.9,5.4,51.2,47.2,4,11.2,11.9613,13.0166,10.5468,10.5468,0.7369,0.6775,NA,96.8,1.76,77.3762,96,48.8,56.9193,1.8467,9.3228,4.397,0.3697,0,98.2119,6.9096,0.1295,15.2543,18.5035,2.3459,0.9422,0.2449,0,0,12,1.2431,ucv_lowSin_gravel_bed,good,12,7.537768933462229
Lemhi,CBW05583-452047,2013-07-05,Quantitative Consultants Inc,2,CHaMP 2013,2013-07-03,Hitch 2,Hannah Crew,Data Approved,Released to Public,1448,Rotating Panel 3,Lemhi Mainstem-Private,Lemhi River,Primary Visit,Yes,2013,-1367224.10238,2537896.89879,-113.38312,44.70159,Lemhi River,1791.88,Rotating Panel 3 - Lemhi Mainstem Upper,Private Lands,Depositional,Meandering,4,17060204,1706020405,170602040503,17,17aa,6,6.2,2.6,931.21899,BAS - II.C,II.A.1,0.3,1.06,2.14,116.38,2558584,0.0.4,NA,1294.9276,11,455.6362,44.8986,789.7165,3,160.6112,27.3816,799.4734,3,186.9767,27.7199,0.3603,1.3885,273.4934,2884.0251,4232.8847,803.224,10.5451,0.3818,15.544,0.3852,1647.7031,304.4518,1.1132,302.5651,1.1111,1,1,0.1848,0.2758,14.0323,0.3835,36.1008,0.2626,10.1855,0.6048,44.7414,1.5538,0.3563,4.962,3.5112,4.022,1.0969,1.0969,0.5025,0.3406,68.4778,0,2.3743,0,0,0,0.9861,2.375,4.8163,7,19,47,9.2381,17.0952,357,NA,0,0,62,44,32.7,50.7,2.1262,2.9852,1.3005,1.9382,0.785,0.0407,NA,100,1.7,94.8925,67.3,38,59.3984,2.5531,16.5051,16.0881,7.6445,0.1187,85.4051,23.4009,6.952,0.9058,23.1907,17.2683,1.0969,0.0589,0,0,17,0.0611,ucv_meandering_fine_grained,moderate,17,6.215872119765962
Lemhi,CBW05583-484815,2013-07-04,Quantitative Consultants Inc,6,CHaMP 2013,2013-07-03,Hitch 2,Hannah Crew,Data Approved,Released to Public,1449,Rotating Panel 3,Lemhi Mainstem-Private,Lemhi River,Primary Visit,Yes,2013,-1366425.69833,2537609.25056,-113.37253,44.70035,Lemhi River,1802.58,Rotating Panel 3 - Lemhi Mainstem Upper,Private Lands,Depositional,Meandering,4,17060204,1706020405,170602040503,17,17aa,6,6.2,2.61,902.78497,BAS - II.C,II.A.1,0.3,1.06,2.14,113.38,2558585,0.0.4,NA,662.0258,5,224.8934,17.7967,505.2616,1,69.8695,13.5826,2552.6423,3,336.4564,68.6207,0.2977,2.0226,285.7529,3720.0858,4296.2606,631.2193,13.0185,0.4235,15.5519,0.6033,1146.0819,285.7529,1,276.2522,1,0,0,0.1371,0.3597,15.0903,0.5811,51.4563,0.6158,15.3137,0.8821,103.6685,1.0939,0.2703,NA,NA,1.7498,0.35,1.0499,0.3303,0.4282,0,0,0,0,0,0,0.9418,9,NA,0.02,0.1931,24,69.0952,72.3693,451,194,0,0,70.9,61.2,11,22.1,0,0,0,0,0,0,0.0016,98.6,2.28,98.3176,89,29.1,66.6244,5.7244,28.983,0,8.2299,0,88.9377,0,3.8067,0,4.3926,17.761,1.3123,0.0613,0,0,9,0,ucv_meandering_fine_grained,moderate,9,3.1495743350286207
