ProgramSiteID,SiteName,WatershedID,WatershedName,SampleDate,HitchName,CrewName,VisitYear,IterationID,CategoryName,PanelName,VisitID,VisitDate,ProtocolID,ProgramID,AEM,Bug Validation,CHaMP 10% Revisit,CHaMP Core,CHaMP-PiBO Comparison,Effectiveness,Has Fish Data,IMW,Remove,Velocity Validation,Primary Visit,QC Visit,Error,No,Yes,MeasurementID,Notes,DataUpdateNotes,UndercutBankID,UTMZone,UTMNorthing,UTMEasting,GPSAccuracy,GPSAccuracyType,EstimatedLength,Width25,Width50,Width75,Bank,AverageWidth,NearestUnitBoundary,AverageDepth,Elevation,ChannelUnitID,ChannelUnit_ChannelUnitNumber,DistanceToNearestUnitBoundary,EstimatedUndercutArea
68453,CAL00001-000617,27,Big-Navarro-Garcia (CA),10/29/2012,Usal Creek,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,1079,10/29/2012,806,1,,,,,,,,,,,Yes,,,,Yes,4444288,,,3,10,4409714,430943,2.7,HDOP,2,0.8,0.8,0.8,Right,0.8,Upstream,0.45,34,6,6,4.8,1.6
68453,CAL00001-000617,27,Big-Navarro-Garcia (CA),10/29/2012,Usal Creek,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,1079,10/29/2012,806,1,,,,,,,,,,,Yes,,,,Yes,4444289,,,2,10,4409715,430946,2.6,HDOP,1.9,0.45,0.45,0.45,Right,0.45,Downstream,0.4,48,6,6,5,0.86
68453,CAL00001-000617,27,Big-Navarro-Garcia (CA),10/29/2012,Usal Creek,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,1079,10/29/2012,806,1,,,,,,,,,,,Yes,,,,Yes,4444290,,,1,10,4409762,430920,5.9,HDOP,1.4,0.8,0.8,0.8,Left,0.8,Upstream,0.29,59,2,2,10,1.12
68460,CAL00001-002067,27,Big-Navarro-Garcia (CA),7/30/2012,Albion River Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,888,7/30/2012,806,1,,,,,,,,,,,Yes,,,Yes,,211108,the h2o temp logger is here,,3,10,4342729,446436,1.84,HDOP,2,0.35,0.35,0.35,Left,0.35,Downstream,0.6,80,5,5,2,0.7
68460,CAL00001-002067,27,Big-Navarro-Garcia (CA),7/30/2012,Albion River Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,888,7/30/2012,806,1,,,,,,,,,,,Yes,,,Yes,,211109,,,2,10,4342708,446409,3.3,HDOP,1.3,0.13,0.13,0.13,Left,0.13,Upstream,0.1,86,3,3,1,0.17
68460,CAL00001-002067,27,Big-Navarro-Garcia (CA),7/30/2012,Albion River Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,888,7/30/2012,806,1,,,,,,,,,,,Yes,,,Yes,,211110,,,1,10,4342686,446404,2.18,HDOP,2,0.3,0.3,0.3,Right,0.3,Upstream,0.2,101,1,1,3,0.6
68460,CAL00001-002067,27,Big-Navarro-Garcia (CA),8/6/2013,SF Albion River,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1617,8/6/2013,1966,1,,,,,,,,,,,Yes,,,,,174361123,,,1,10,4342684,446402,1.99,HDOP,3.5,0.4,0.4,0.2,Right,0.33,,,108,1,1,,1.17
68460,CAL00001-002067,27,Big-Navarro-Garcia (CA),8/6/2013,SF Albion River,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1617,8/6/2013,1966,1,,,,,,,,,,,Yes,,,,,174361124,,,1,10,4342722,446421,2.06,HDOP,5.5,0.3,0.5,0.4,Left,0.4,,,66,2,2,,2.2
68460,CAL00001-002067,27,Big-Navarro-Garcia (CA),8/6/2013,SF Albion River,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1617,8/6/2013,1966,1,,,,,,,,,,,Yes,,,,,174361125,,,2,10,4342728,446420,2.07,HDOP,2,0.2,0.4,0.2,Left,0.27,,,75,2,2,,0.53
68460,CAL00001-002067,27,Big-Navarro-Garcia (CA),8/6/2013,SF Albion River,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1617,8/6/2013,1966,1,,,,,,,,,,,Yes,,,,,174361126,,,3,10,4342716,446414,2.1,HDOP,3,0.2,0.3,0.4,Right,0.3,,,79,2,2,,0.9
68460,CAL00001-002067,27,Big-Navarro-Garcia (CA),8/6/2013,SF Albion River,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1617,8/6/2013,1966,1,,,,,,,,,,,Yes,,,,,174361127,,,1,10,4342730,446426,2.17,HDOP,1.5,0.2,0.2,0.2,Right,0.2,,,103,3,3,,0.3
68460,CAL00001-002067,27,Big-Navarro-Garcia (CA),8/6/2013,SF Albion River,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1617,8/6/2013,1966,1,,,,,,,,,,,Yes,,,,,174361128,,,2,10,4342744,446426,2.16,HDOP,1,0.3,0.4,0.3,Right,0.33,,,105,3,3,,0.33
68460,CAL00001-002067,27,Big-Navarro-Garcia (CA),8/6/2013,SF Albion River,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1617,8/6/2013,1966,1,,,,,,,,,,,Yes,,,,,174361129,,,1,10,4342755,446434,3.26,HDOP,1.5,0.2,0.2,0.3,Left,0.23,,,163,4,4,,0.35
68460,CAL00001-002067,27,Big-Navarro-Garcia (CA),8/6/2013,SF Albion River,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1617,8/6/2013,1966,1,,,,,,,,,,,Yes,,,,,174361130,,,2,10,4342762,446439,2.02,HDOP,2,0.2,0.4,0.2,Right,0.27,,,161,4,4,,0.53
68463,CAL00001-003011,27,Big-Navarro-Garcia (CA),9/18/2013,Ten Mile 11 2013,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1927,9/18/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,178338032,,,1,10,4371222,441765,3.5,HDOP,3.5,1,0.35,0.4,Right,0.58,,,59,1,1,,2.04
68463,CAL00001-003011,27,Big-Navarro-Garcia (CA),9/18/2013,Ten Mile 11 2013,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1927,9/18/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,178338033,,,2,10,4371209,441775,4.2,HDOP,10,1.7,1.5,1.8,Right,1.67,,,61,1,1,,16.67
68463,CAL00001-003011,27,Big-Navarro-Garcia (CA),9/18/2013,Ten Mile 11 2013,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1927,9/18/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,178338034,,,3,10,4371149,441788,5.3,HDOP,3,1,0.6,0.7,Left,0.77,,,64,1,1,,2.3
68464,CAL00001-003348,27,Big-Navarro-Garcia (CA),9/20/2012,Garcia River Tributaries,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,1090,9/20/2012,806,1,,,,,,,,,,,Yes,,,Yes,,290795,h2o hobo located in this undercut,,1,10,4303194,456583,12.4,HDOP,2,0.5,0.5,0.5,Left,0.5,Downstream,0.3,67,8,8,2,1
68464,CAL00001-003348,27,Big-Navarro-Garcia (CA),7/17/2013,Signal Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1552,7/17/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174360769,,,1,10,4303265,456613,2.04,HDOP,2.65,0.5,0.9,1,Left,0.8,,,109,12,12,,2.12
68465,CAL00001-003372,27,Big-Navarro-Garcia (CA),9/18/2012,Garcia River Tributaries,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Annual,1091,9/18/2012,806,1,,,,,,,,,,,Yes,,,Yes,,291133,,,1,10,4306559,457524,1.35,HDOP,3,0.2,0.2,0.2,Left,0.2,Upstream,0.3,149,9,9,3,0.6
68465,CAL00001-003372,27,Big-Navarro-Garcia (CA),7/11/2013,Inman Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1548,7/11/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174360452,submerged at base of tree,,1,10,4306547,457520,2.84,HDOP,4,0.75,0.27,0.5,Left,0.51,,,119,13,13,,2.03
68465,CAL00001-003372,27,Big-Navarro-Garcia (CA),7/11/2013,Inman Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1548,7/11/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174360453,,,1,10,4306562,457505,2,HDOP,3,0.62,1.1,0.4,Left,0.71,,,115,12,12,,2.12
68465,CAL00001-003372,27,Big-Navarro-Garcia (CA),7/11/2013,Inman Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1548,7/11/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174360454,,,1,10,4306563,457501,1.81,HDOP,1.2,0.4,0.32,0.31,Right,0.34,,,115,10,10,,0.41
68465,CAL00001-003372,27,Big-Navarro-Garcia (CA),7/11/2013,Inman Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1548,7/11/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,174360455,,,2,10,4306561,457501,1.73,HDOP,1,0.45,0.55,0.6,Right,0.53,,,129,10,10,,0.53
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961199,,,1,10,4375949,438483,1.66,HDOP,2,0.7,0.9,0.75,Right,0.78,,,50,2,2,,1.57
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961200,,,2,10,4375940,438494,3.22,HDOP,4,1.2,0.9,0.65,Right,0.92,,,106,2,2,,3.67
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961201,,,1,10,4375919,438524,11.97,HDOP,1.5,0.25,0.4,0.35,Right,0.33,,,126,5,5,,0.5
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961202,,,1,10,4375925,438514,1.71,HDOP,1.5,0.25,0.3,0.3,Left,0.28,,,73,7,7,,0.42
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961203,,,1,10,4375922,438513,2.64,HDOP,1.2,0.35,0.5,0.3,Left,0.38,,,-14,8,8,,0.46
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961204,,,1,10,4375916,438521,1.77,HDOP,2.5,0.5,0.75,0.4,Left,0.55,,,42,12,12,,1.38
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961205,,,2,10,4375901,438517,3.21,HDOP,4.5,0.9,0.75,1.1,Left,0.92,,,34,12,12,,4.12
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961206,,,3,10,4375918,438521,1.86,HDOP,3,0.3,0.5,0.4,Left,0.4,,,36,12,12,,1.2
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961207,,,1,10,4375902,438526,2.94,HDOP,1,0.8,0.55,0.8,Left,0.72,,,16,13,13,,0.72
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961208,,,1,10,4375904,438532,3.05,HDOP,1.5,0.3,0.45,0.4,Left,0.38,,,25,15,15,,0.57
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961209,,,1,10,4375920,438545,3.19,HDOP,2,0.35,0.5,0.55,Right,0.47,,,48,19,19,,0.93
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961210,,,2,10,4375920,438553,3.28,HDOP,1.5,0.35,0.5,0.65,Right,0.5,,,47,19,19,,0.75
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961211,,,1,10,4375948,438562,3.47,HDOP,4,1,1.3,1.5,Right,1.27,,,13,21,21,,5.07
68466,CAL00001-003544,27,Big-Navarro-Garcia (CA),7/29/2013,Smith Creek,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Annual,1624,7/29/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961212,,,1,10,4375923,438574,3.73,HDOP,3,0.4,0.3,0.4,Right,0.37,,,19,23,23,,1.1
68467,CAL00001-004127,27,Big-Navarro-Garcia (CA),7/19/2012,Ten Mile Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Rotating Panel 1,708,7/19/2012,806,1,,,,,,,,,,,Yes,,,Yes,,209469,,,1,10,4377865,437581,1.41,HDOP,2,0.5,0.5,0.5,Right,0.5,Downstream,0.18,16,2,2,2,1
68469,CAL00001-006223,27,Big-Navarro-Garcia (CA),7/16/2012,Ten Mile Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Rotating Panel 1,709,7/16/2012,806,1,,,,,,,,,,,Yes,,,Yes,,210431,,,8,10,4381250,449988,2.15,HDOP,3.8,0.35,0.35,0.35,Right,0.35,Upstream,0.15,177,10,10,5,1.33
68469,CAL00001-006223,27,Big-Navarro-Garcia (CA),7/16/2012,Ten Mile Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Rotating Panel 1,709,7/16/2012,806,1,,,,,,,,,,,Yes,,,Yes,,210432,,,7,10,4381244,449957,1.72,HDOP,1,0.4,0.4,0.4,Right,0.4,Upstream,0.15,177,8,8,17,0.4
68469,CAL00001-006223,27,Big-Navarro-Garcia (CA),7/16/2012,Ten Mile Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Rotating Panel 1,709,7/16/2012,806,1,,,,,,,,,,,Yes,,,Yes,,210433,,,6,10,4381244,449959,2.17,HDOP,1.5,0.25,0.25,0.25,Right,0.25,Upstream,0.15,177,8,8,20,0.38
68469,CAL00001-006223,27,Big-Navarro-Garcia (CA),7/16/2012,Ten Mile Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Rotating Panel 1,709,7/16/2012,806,1,,,,,,,,,,,Yes,,,Yes,,210434,,,5,10,4381255,449940,1.72,HDOP,1.3,0.3,0.3,0.3,Right,0.3,Downstream,0.25,177,8,8,10,0.39
68469,CAL00001-006223,27,Big-Navarro-Garcia (CA),7/16/2012,Ten Mile Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Rotating Panel 1,709,7/16/2012,806,1,,,,,,,,,,,Yes,,,Yes,,210435,,,4,10,4381255,449935,1.72,HDOP,1.1,0.2,0.2,0.2,Right,0.2,Downstream,0.8,177,8,8,8.5,0.22
68469,CAL00001-006223,27,Big-Navarro-Garcia (CA),7/16/2012,Ten Mile Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Rotating Panel 1,709,7/16/2012,806,1,,,,,,,,,,,Yes,,,Yes,,210436,,,3,10,4381270,449903,2.18,HDOP,1,0.45,0.45,0.45,Right,0.45,Upstream,0.5,168,4,4,9,0.45
68469,CAL00001-006223,27,Big-Navarro-Garcia (CA),7/16/2012,Ten Mile Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Rotating Panel 1,709,7/16/2012,806,1,,,,,,,,,,,Yes,,,Yes,,210437,,,2,10,4381273,449905,2.19,HDOP,1.2,0.45,0.45,0.45,Right,0.45,Upstream,0.55,166,4,4,10,0.54
68469,CAL00001-006223,27,Big-Navarro-Garcia (CA),7/16/2012,Ten Mile Watershed,Chris Bell Crew,2012,2,Greater Big-Navarro-Garcia,Rotating Panel 1,709,7/16/2012,806,1,,,,,,,,,,,Yes,,,Yes,,210438,,,1,10,4381247,449877,1.99,HDOP,1.8,0.15,0.15,0.15,Right,0.15,Upstream,0.22,170,3,3,1.5,0.27
68472,CAL00001-009230,27,Big-Navarro-Garcia (CA),8/1/2013,SF Noyo 30,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Rotating Panel 2,1704,8/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961486,,,1,10,4363939,437651,1.33,HDOP,1.8,0.25,0.3,0.35,Right,0.3,,,39,16,16,,0.54
68472,CAL00001-009230,27,Big-Navarro-Garcia (CA),8/1/2013,SF Noyo 30,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Rotating Panel 2,1704,8/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961487,,,2,10,4363937,437642,1.25,HDOP,1.1,0.5,0.6,0.3,Right,0.47,,,26,16,16,,0.51
68472,CAL00001-009230,27,Big-Navarro-Garcia (CA),8/1/2013,SF Noyo 30,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Rotating Panel 2,1704,8/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961488,,,3,10,4363936,437619,1.34,HDOP,2.1,0.25,0.2,0.5,Right,0.32,,,42,16,16,,0.66
68472,CAL00001-009230,27,Big-Navarro-Garcia (CA),8/1/2013,SF Noyo 30,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Rotating Panel 2,1704,8/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961489,,,4,10,4363946,437625,1.33,HDOP,1.5,0.4,0.25,0.3,Right,0.32,,,13,16,16,,0.47
68472,CAL00001-009230,27,Big-Navarro-Garcia (CA),8/1/2013,SF Noyo 30,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Rotating Panel 2,1704,8/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961490,,,5,10,4363933,437609,1.43,HDOP,1,0.2,0.2,0.2,Right,0.2,,,99,16,16,,0.2
68472,CAL00001-009230,27,Big-Navarro-Garcia (CA),8/1/2013,SF Noyo 30,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Rotating Panel 2,1704,8/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961491,,,1,10,4363936,437580,1.81,HDOP,1.15,0.2,0.45,0.2,Left,0.28,,,56,13,13,,0.33
68472,CAL00001-009230,27,Big-Navarro-Garcia (CA),8/1/2013,SF Noyo 30,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Rotating Panel 2,1704,8/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961492,,,2,10,4363942,437583,1.86,HDOP,2.5,0.2,0.5,0.45,Left,0.38,,,42,13,13,,0.96
68472,CAL00001-009230,27,Big-Navarro-Garcia (CA),8/1/2013,SF Noyo 30,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Rotating Panel 2,1704,8/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961493,,,3,10,4363946,437579,1.89,HDOP,2.3,0.6,0.3,0.3,Left,0.4,,,63,13,13,,0.92
68472,CAL00001-009230,27,Big-Navarro-Garcia (CA),8/1/2013,SF Noyo 30,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Rotating Panel 2,1704,8/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961494,,,4,10,4363949,437573,1.93,HDOP,4.8,0.45,0.35,0.5,Left,0.43,,,49,13,13,,2.08
68472,CAL00001-009230,27,Big-Navarro-Garcia (CA),8/1/2013,SF Noyo 30,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Rotating Panel 2,1704,8/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961495,,,1,10,4363962,437575,1.91,HDOP,10,0.3,0.9,0.45,Left,0.55,,,76,12,12,,5.5
68472,CAL00001-009230,27,Big-Navarro-Garcia (CA),8/1/2013,SF Noyo 30,Chris Bell Crew,2013,3,Greater Big-Navarro-Garcia,Rotating Panel 2,1704,8/1/2013,1966,1,,,,,,,,,,,Yes,,,Yes,,171961496,,,2,10,4363971,437540,1.89,HDOP,15.2,0.3,0.5,1.05,Left,0.62,,,76,12,12,,9.37
