ObjectID,GlobalID,Channel Unit Type,Off Channel Type,Notes,Width1,Width2,Width3,Width4,Width5,Average_width,Maximum Pool Depth (m),Channel Segment Number,Channel Unit Number,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
195,3658466d-a51f-4d17-b3ed-98759aa9abde,Pool,,,,,,,,,1.05,1,44,,,,,,,,,,,,10,20,60,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8225257,45.15759815
196,0ff3b075-6ef5-49b4-a027-71b4022e917a,Pool,,,,,,,,,0.79,1,45,,,,,,,,,,,,10,30,50,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8229029,45.15765242
199,ebb02138-52fc-41d6-ba88-b57de77ab96f,Pool,,,,,,,,,1,1,48,,,,,,,,,,,,10,30,50,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8240489,45.15746962
201,2c0ae3a8-6268-4951-b478-5367b4cda0dc,Pool,,,,,,,,,1.12,1,50,,,,,,,,,,,,10,20,50,20,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8246353,45.15722427
203,73fb2636-3f98-4d6b-9e19-f7c12e5d5fed,Pool,,,,,,,,,0.78,1,52,,,,,,,,,,,,0,40,60,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8268267,45.15725863
204,9467c96c-b967-4993-a032-051583a6d332,Pool,,,,,,,,,0.7,1,53,,,,,,,,,,,,10,30,60,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.82699,45.1573427
206,80fc017a-c639-4f33-83f0-8ae606305dca,Pool,,,,,,,,,1.4,1,55,,,,,,,,,,,,20,40,40,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.827395,45.15752967
207,9c3188af-d6b8-42e8-bfde-33f894d676a3,Pool,,,,,,,,,1.31,1,56,,,,,,,,,,,,10,20,70,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8277034,45.15775688
210,e103b822-9f75-4f8b-850f-7193f2fa59d3,Pool,,,,,,,,,0.9,1,59,,,,,,,,,,,,10,50,40,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8284645,45.15795287
211,7df3e68f-d470-4164-8b20-418555e5a675,Pool,,,,,,,,,0.99,1,60,,,,,,,,,,,,10,60,30,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8285899,45.15823882
213,282b9a09-1940-4495-86e5-22dda190f735,Pool,,,,,,,,,1.1,1,62,,,,,,,,,,,,10,70,20,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8287922,45.15829068
215,13b5a5a5-3198-4c0a-8f0c-f61c175af3cc,Pool,,,,,,,,,0.8,1,64,,,,,,,,,,,,20,60,20,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8291587,45.15826125
218,1dde5775-9a3b-41af-98a0-3cb2f9a8e165,Pool,,,,,,,,,1.8,1,67,,,,,,,,,,,,40,20,40,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8299362,45.15815888
220,50a44beb-8359-414a-9f75-7033c0052086,Pool,,,,,,,,,0.88,1,69,,,,,,,,,,,,10,30,60,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8302332,45.1584106
221,ea6a792d-c2a3-46ca-8ef0-891e19cf1695,Pool,,,,,,,,,1.31,1,70,,,,,,,,,,,,20,40,40,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.830223,45.15865432
222,2ed806bc-025a-449c-b6b7-364f79458528,Pool,,No pool depth,,,,,,,NA,1,71,,,,,,,,,,,,20,30,50,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8307528,45.15888247
224,ad6d2672-8591-42c4-a805-f2312f8946f2,Pool,,,,,,,,,1.25,1,73,,,,,,,,,,,,10,40,50,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8311694,45.15949093
226,37cf8ff0-e40f-4c7c-8f8f-542f6192ebac,Pool,,,,,,,,,0.9,1,75,,,,,,,,,,,,10,50,40,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8316021,45.15973597
153,3d10ba9d-a24a-4b7e-b43c-55501e9f6d8a,Riffle,,,,,,,,,,1,2,38.5,54.5,109,38.5,54.5,54.5,54.5,109,77,218,218,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8099827,45.14420268
155,122791af-d4e8-47c5-a5ac-ef7ecf56233c,Riffle,,,,,,,,,,1,4,154,27.25,154,154,309,154,109,54.5,77,109,109,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8100979,45.14480605
157,084959d3-3282-48c4-9bdb-43cdb9f0153b,Riffle,,,,,,,,,,1,6,309,437,109,77,77,77,218,77,309,54.5,109,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8105024,45.14548348
159,a9067e9e-2c95-4e80-af60-7747e4b2664f,Riffle,,,,,,,,,,1,8,4.85,4.85,154,27.25,154,38.5,218,218,77,218,54.5,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8114645,45.14576048
161,46d1f9b2-d77a-448b-a85e-af7bbc4a4688,Riffle,,,,,,,,,,1,10,154,77,218,309,218,77,77,77,77,109,54.5,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.812303,45.14627045
163,7b8e25f6-29f7-4783-af4f-ff8330a9d860,Riffle,,,,,,,,,,1,12,38.5,154,218,218,27.25,218,109,154,27.25,19.3,38.5,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8133164,45.14752085
166,0706bed6-061c-4501-a10e-c449100629e9,Riffle,,,,,,,,,,1,15,109,77,77,38.5,38.5,77,77,27.25,218,54.5,27.25,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8141756,45.1475668
168,7b4f99ee-5b3d-4b38-8361-21ce95fb6f0d,Riffle,,,,,,,,,,1,17,77,218,54.5,309,77,618,218,309,77,309,9.65,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8143143,45.14787987
170,c6d9c231-d141-4868-a7a9-8544e0e447f2,Riffle,,,,,,,,,,1,19,54.5,109,109,54.5,27.25,54.5,109,109,38.5,109,154,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8142606,45.1482102
172,00c1552e-a96e-4ce9-acad-f1abb1541091,Riffle,,,,,,,,,,1,21,0.06,19.3,4.85,109,77,109,54.5,38.5,77,38.5,109,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8137726,45.1486944
175,b421b39f-b51e-47ff-806e-c8f6391d7fd3,Riffle,,,,,,,,,,1,24,54.5,54.5,77,54.5,154,54.5,109,218,109,218,309,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.813434,45.14917393
177,e85be1a6-2d6f-41f4-8add-91307feb6ca8,Riffle,,,,,,,,,,1,26,1.03,77,77,77,77,27.25,109,77,218,54.5,77,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8134155,45.149427
179,4f23a9dc-81bc-4401-a49f-94f68730d313,Riffle,,,,,,,,,,1,28,1.03,1.03,109,154,109,77,54.5,0.06,109,109,13.65,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8136397,45.15015698
183,255094ff-457b-44de-b163-508c154446f7,Riffle,,,,,,,,,,1,32,77,874,154,154,77,54.5,109,77,109,38.5,109,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8133306,45.15202412
187,1d0f9251-d944-40ef-a65f-f3757ca811e4,Riffle,,,,,,,,,,1,36,109,154,27.25,77,309,109,618,54.5,38.5,38.5,109,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8136953,45.1530077
189,7ef73a93-6abf-4ab7-bffa-8278d88a0237,Riffle,,,,,,,,,,1,38,154,38.5,109,77,154,218,109,38.5,218,154,0.06,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8144785,45.15448557
191,c30176ea-fe35-4b2a-a866-ba0f19c2bd30,Riffle,,,,,,,,,,1,40,109,0.06,77,218,109,109,77,54.5,154,109,1.03,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8182917,45.15624958
194,a9a89301-6e9e-469d-b112-e04f8faa2922,Riffle,,,,,,,,,,1,43,309,109,109,77,77,27.25,109,218,77,38.5,218,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8204295,45.15703052
197,eb04fc60-28c6-4ecf-aeaa-0a30914318f8,Riffle,,,,,,,,,,1,46,77,77,54.5,309,109,38.5,109,109,77,77,77,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8231631,45.15760337
200,1f32024c-2bc1-4401-ba81-9d92c62b8115,Riffle,,,,,,,,,,1,49,38.5,154,218,54.5,13.65,54.5,19.3,218,218,154,109,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8245795,45.15728227
202,988d14ec-b514-483f-aaa1-56d0c9cb5043,Riffle,,,,,,,,,,1,51,109,54.5,109,218,154,109,77,54.5,109,38.5,38.5,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8250432,45.15722497
208,01958f65-a5c4-4864-a061-4802b415033c,Riffle,,,,,,,,,,1,57,109,19.3,27.25,19.3,19.3,38.5,19.3,19.3,13.65,9.65,13.65,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8282856,45.15781808
212,7d53d471-858b-454f-aaf8-9725595059ad,Riffle,,,,,,,,,,1,61,5.35,1.03,54.5,109,27.25,27.25,19.3,19.3,19.3,19.3,27.25,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8286257,45.15826325
214,5f6215f6-f7f7-4bd9-885d-6f5e047c28a8,Riffle,,,,,,,,,,1,63,5.35,109,38.5,27.25,38.5,109,54.5,13.65,27.25,54.5,38.5,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.829012,45.1583026
216,b9f4209e-f497-45ac-a928-463c5c4cd814,Riffle,,,,,,,,,,1,65,5.35,38.5,38.5,38.5,27.25,218,38.5,27.25,4.85,9.65,0.06,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8293769,45.15822748
219,47578667-b692-4eb6-96e8-787d01e7913b,Riffle,,,,,,,,,,1,68,77,109,109,109,54.5,27.25,38.5,13.65,38.5,54.5,38.5,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8302337,45.15841298
223,eac1cf7b-d3dc-42e4-ab50-c83f376b9407,Riffle,,,,,,,,,,1,72,27.25,77,77,77,109,77,3,109,77,54.5,77,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8307353,45.1591956
225,295d1b9a-a065-4d4d-b30d-5926a1edb34b,Riffle,,,,,,,,,,1,74,77,77,54.5,54.5,54.5,109,38.5,77,154,38.5,109,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8313163,45.1596029
156,ccf70a57-0b03-43a7-a7fb-c5fd36729846,Run,,,,,,,,,,1,5,,,,,,,,,,,,0,30,40,50,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8105301,45.1454782
169,427e0257-9e84-43d5-a172-5a816c69e8ee,Run,,,,,,,,,,1,18,,,,,,,,,,,,0,20,70,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8143143,45.1480258
180,d4061b8d-fed9-47f8-970b-c706295a74a2,Run,,,,,,,,,,1,29,,,,,,,,,,,,30,50,20,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8138502,45.150459
188,2253282b-6051-41a2-9fc9-ffa3bf130658,Run,,,,,,,,,,1,37,,,,,,,,,,,,10,30,50,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8138809,45.15347657
192,4e2f6be3-c764-49b3-a389-654b050d92de,Run,,,,,,,,,,1,41,,,,,,,,,,,,30,20,40,10,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.818466,45.15650298
205,c454b63a-f8f7-4ed9-b1f1-fb6cc14a0704,Run,,,,,,,,,,1,54,,,,,,,,,,,,20,20,60,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8273287,45.15741448
181,6b5720f3-f974-42f8-a0da-9cae42d1619f,Rapid,,,,,,,,,,1,30,,,,,,,,,,,,0,0,10,90,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8135957,45.15157727
185,06328a06-1b98-4111-8ab1-73f8ed4de9d9,Rapid,,,,,,,,,,1,34,,,,,,,,,,,,0,10,30,60,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8132849,45.1525192
174,4157a59f-e633-47f4-9828-37ee2ee99828,Off Channel,Ssc,,3.4,3.6,5.3,1.7,2.1,3.22,,2,23,,,,,,,,,,,,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8134348,45.1491773
198,802bc57e-5ab4-45c7-b75a-fded625786b5,Off Channel,Oca,,,,,,,,0.18,1,47,,,,,,,,,,,,30,0,70,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8239226,45.15753973
209,18ac4e76-3dc2-46f0-803b-bcfc6080e769,Off Channel,Ssc,,1.6,2.6,3.9,7.3,3.8,3.84,,3,58,,,,,,,,,,,,,,,,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8284657,45.15795705
217,335391c5-c224-4bcc-8b4c-8f8bf8362b49,Off Channel,Oca,,,,,,,,0.35,1,66,,,,,,,,,,,,0,40,60,0,96ff5d57-608b-435b-9df8-2fdd2e39909e,8/20/2018 21:27,richie@qcinc.org,8/20/2018 21:27,richie@qcinc.org,-113.8294314,45.15808095
