ObjectID,GlobalID,Channel Unit Type,Off Channel Type,Notes,Width1,Width2,Width3,Width4,Width5,Avg_width,Maximum Pool Depth (m),Channel Segment Number,Channel Unit Number,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
14,ebb98412-e560-4621-bba4-fe5a9195efc7,Pool,,,,,,,,,0.73,1,14,,,,,,,,,,,,10,50,40,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3932158,44.7073666
15,88fd1ce9-c48c-45a7-8b27-eb28decf43f3,Pool,,,,,,,,,0.78,1,15,,,,,,,,,,,,10,80,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3933595,44.70740657
20,7db5b8c9-f15b-4d71-9a82-fa9a18bb9b75,Pool,,,,,,,,,0.98,1,20,,,,,,,,,,,,40,60,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3931327,44.70807723
23,77916216-5c03-440f-b1ae-5cbd7d73e719,Pool,,,,,,,,,0.86,1,23,,,,,,,,,,,,10,60,30,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3938546,44.70799438
26,9bc68efe-6b2e-4297-83ae-9c7e58522851,Pool,,,,,,,,,1.01,1,26,,,,,,,,,,,,40,60,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3940943,44.70827763
28,6cd2c887-797d-44be-bc83-043bfffc2111,Pool,,,,,,,,,0.65,1,28,,,,,,,,,,,,30,70,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3943335,44.70859723
30,189111f2-3b5a-4ae7-97e2-ab6b28577293,Pool,,,,,,,,,0.89,1,30,,,,,,,,,,,,20,40,30,10,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3945399,44.70806545
32,542e6eb5-7bef-421a-8d3a-12b1c7928046,Pool,,,,,,,,,0.96,1,32,,,,,,,,,,,,30,40,30,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/22/2018 14:49,richie@qcinc.org,-113.3953342,44.70822825
33,29601c58-c709-4e8e-81a1-82c8bc9633e7,Pool,,,,,,,,,1.21,1,33,,,,,,,,,,,,10,40,50,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3953507,44.70838257
35,493d6948-4508-451b-a01c-d966e3de90c1,Pool,,,,,,,,,0.65,1,35,,,,,,,,,,,,40,10,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3958834,44.70867372
40,d43bc89f-9139-4b37-86ba-13feca189c94,Pool,,,,,,,,,0.88,1,40,,,,,,,,,,,,40,50,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.396846,44.70858178
41,acf13747-ec5b-4250-a505-49b7d2520799,Pool,,,,,,,,,0.95,1,41,,,,,,,,,,,,60,40,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3966945,44.7087133
44,cbe490e7-f47f-4393-ba34-12dabc44b5b8,Pool,,,,,,,,,1.18,1,44,,,,,,,,,,,,30,40,30,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3972284,44.70852297
48,bbf28281-d1c3-4226-ad1a-5b131b079975,Pool,,,,,,,,,0.66,1,48,,,,,,,,,,,,60,40,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3973107,44.70948043
50,dfe1aa72-e5b1-4fc4-9e9f-4bd762c6a966,Pool,,,,,,,,,0.85,1,50,,,,,,,,,,,,10,90,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3978145,44.70935918
52,489e5490-2154-4777-852c-f105d7d0c065,Pool,,,,,,,,,0.62,1,52,,,,,,,,,,,,30,70,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3986388,44.70925193
56,b36242e3-1455-4a40-bb29-3a24e2042c4b,Pool,,,,,,,,,0.48,1,56,,,,,,,,,,,,20,80,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3995344,44.70970523
57,9b88d77c-7c23-49f5-826e-faf290756a20,Pool,,,,,,,,,0.76,1,57,,,,,,,,,,,,70,30,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3993069,44.70973172
59,6555c853-5835-4211-ae4c-0475d969c853,Pool,,,,,,,,,0.82,1,59,,,,,,,,,,,,30,40,30,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3985924,44.70963353
61,b025aedf-c043-4a76-9539-c6f202c7f73e,Pool,,,,,,,,,0.58,1,61,,,,,,,,,,,,60,40,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3988051,44.71021058
64,e3066a32-a6b2-4fa8-a3df-6352460209d1,Pool,,,,,,,,,1.12,1,64,,,,,,,,,,,,40,60,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3990782,44.71005635
66,465325cd-fb59-4ffb-9fac-0aca0d6c1905,Pool,,,,,,,,,0.92,1,66,,,,,,,,,,,,20,70,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3994831,44.71044647
69,63db7db8-8b86-4757-aee0-e2f8020ec9a7,Pool,,,,,,,,,0.6,1,69,,,,,,,,,,,,50,50,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4001038,44.71101708
73,2a897602-6d18-46f7-ac94-47235d7f598e,Pool,,,,,,,,,1.1,1,73,,,,,,,,,,,,30,60,20,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.3999502,44.71172575
75,af7f12c2-2ee6-4e55-807a-5af2c7ad8391,Pool,,,,,,,,,0.84,1,75,,,,,,,,,,,,30,40,30,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.400326,44.7114355
76,68e8f0db-02db-429f-b88c-9aca6fc52492,Pool,,,,,,,,,0.42,1,76,,,,,,,,,,,,10,80,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4006973,44.71142017
78,eda4f39a-5d48-45c8-bce8-54497bbcecbb,Pool,,,,,,,,,1.28,1,78,,,,,,,,,,,,70,30,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4008656,44.71175628
80,cbb5d6b4-83f1-449b-b0a0-fa57362ba5a1,Pool,,,,,,,,,0.78,1,80,,,,,,,,,,,,20,80,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4009787,44.71129607
82,27c78ed4-c6f3-444b-b6c9-6db524c6e5a2,Pool,,,,,,,,,0.84,1,82,,,,,,,,,,,,30,70,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4016832,44.71123455
86,87f5e27b-29dc-4c98-9a38-35f91aef4331,Pool,,,,,,,,,0.91,1,86,,,,,,,,,,,,20,40,30,10,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4014075,44.71201288
88,81fe22c0-d0c9-46bf-9aec-d936f34b1287,Pool,,,,,,,,,0.85,1,88,,,,,,,,,,,,40,50,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4018754,44.7120584
89,19901583-5ac6-40e5-ab09-414db32fdebc,Pool,,,,,,,,,0.74,1,89,,,,,,,,,,,,10,80,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4021343,44.71216612
94,e7463ec4-e91c-4e6b-b88a-af89ae64f57c,Pool,,,,,,,,,0.67,1,94,,,,,,,,,,,,40,60,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4026547,44.7118261
96,bc73193c-aeed-46c0-984b-234d5e0a13b9,Pool,,,,,,,,,0.71,1,96,,,,,,,,,,,,30,60,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.403537,44.71249605
98,6e002f12-faaa-4776-97aa-624e68c4dbba,Pool,,,,,,,,,0.79,1,98,,,,,,,,,,,,10,80,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4040601,44.71238723
101,18c5102b-31e0-4719-b0dc-004f87d3d823,Pool,,,,,,,,,0.87,1,101,,,,,,,,,,,,30,60,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4037218,44.71279085
103,3241b8a1-52f3-44cb-af0d-127aa010cf89,Pool,,,,,,,,,0.91,1,103,,,,,,,,,,,,10,90,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4044682,44.71285042
106,0a3b5a8f-aff6-4298-8176-92a288683eb5,Pool,,,,,,,,,0.69,1,105,,,,,,,,,,,,10,60,30,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4047908,44.71339673
108,d8d1fbcd-8a3f-4258-bd19-99007205bfa9,Pool,,,,,,,,,0.64,1,108,,,,,,,,,,,,10,40,50,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4054636,44.71337932
109,5f1e7e66-c780-4995-9851-421cdc075a56,Pool,,,,,,,,,0.76,1,109,,,,,,,,,,,,40,30,20,10,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4056273,44.71348647
111,1ae1fb0a-5ab3-44a5-a7bb-544ae83bcf43,Pool,,,,,,,,,0.77,1,111,,,,,,,,,,,,20,20,60,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4059734,44.71338843
112,7a65af35-9a2f-49f1-9a30-057e45de7989,Pool,,,,,,,,,0.68,1,112,,,,,,,,,,,,50,50,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4061032,44.71359147
113,13641915-1f10-4225-b9a0-7ced00b3b317,Pool,,,,,,,,,1.05,1,113,,,,,,,,,,,,30,50,20,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4059383,44.71382862
117,de4022d3-19af-454c-bb37-1bd0d10fe35d,Pool,,,,,,,,,0.95,1,117,,,,,,,,,,,,20,40,40,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4071777,44.71353947
119,50a2d298-418e-49fe-ac1c-5dfec21e8577,Pool,,,,,,,,,1.28,1,119,,,,,,,,,,,,10,80,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4080201,44.71357583
124,06f9790e-982c-4adc-bc5e-2b4e7cc26946,Pool,,,,,,,,,0.74,1,124,,,,,,,,,,,,20,60,20,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.407911,44.71458727
125,48e30b79-df39-4bdd-a811-45a344c3cbd6,Pool,,,,,,,,,0.82,1,125,,,,,,,,,,,,,,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4082073,44.71459598
129,ab7ca83c-300b-4417-87d1-4f2b9b7b57e6,Pool,,,,,,,,,0.56,1,129,,,,,,,,,,,,20,70,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4083774,44.71518207
132,e2a28c81-5e52-4137-b34f-bb1727316929,Pool,,,,,,,,,0.51,1,132,,,,,,,,,,,,10,90,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4087415,44.71545237
134,1d37faa7-85f8-4f23-a051-7c6592954c99,Pool,,,,,,,,,0.92,1,134,,,,,,,,,,,,20,70,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4087114,44.71650178
135,88301242-6d66-41fd-8c35-fce1acd26f37,Pool,,,,,,,,,1.07,1,135,,,,,,,,,,,,10,90,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.409126,44.71662512
136,5a4c0e2b-c259-4db6-95b0-74315e493245,Pool,,,,,,,,,0.86,1,136,,,,,,,,,,,,20,60,20,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4092623,44.71682775
137,8a25c25e-53e2-42c2-8433-3930b2bbe44e,Pool,,,,,,,,,0.82,1,137,,,,,,,,,,,,20,70,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4091462,44.71688705
139,0937db47-617f-4870-8cdd-c070029bf2e3,Pool,,,,,,,,,0.43,1,139,,,,,,,,,,,,10,90,,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4093045,44.71736292
140,0116c323-4802-4caa-80d7-e62a8917cca1,Pool,,,,,,,,,0.83,1,140,,,,,,,,,,,,20,70,10,,b86d3304-ca46-4ee0-ad39-2a90f764b272,8/7/2018 15:01,richie@qcinc.org,8/7/2018 15:01,richie@qcinc.org,-113.4095118,44.71720195
