ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
17,523a5d93-0735-4273-a194-e897b142bbb4,Pool,17,1,0.38,,,0.1,,0.9,40,40,20,,,,,,,,,,,,,0.52,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
18,c3a80796-79a9-47f0-aa37-ef257cbb9787,Pool,18,2,0.32,0.2,,0.1,,0.7,50,50,,,,,,,,,,,,,,0.54,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
19,18dbd6ea-c48c-4fd1-9c89-0f177117af0a,Run,19,1,0.44,,,0.1,,0.9,30,70,,,,,,,,,,,,,,0.52,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
20,b004c144-f557-4b97-b5da-510896be00ec,Pool,20,1,0.36,,,,,100,40,60,,,,,,,,,,,,,,0.64,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
21,73042f58-4ff8-4bfc-b2db-bbdadd5a05fe,Pool,21,1,0.31,0.2,,,,0.8,40,60,,,,,,,,,,,,,,0.65,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
22,e376fe9b-e723-4383-91c8-39222aae2717,Run,22,1,0.34,0.1,,0.1,,0.9,40,60,,,,,,,,,,,,,,0.62,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
23,dc38a639-9c90-4248-8472-d6a1b1edeed7,Riffle,23,1,0.4,0.1,,,,0.9,,,,,77,19.3,0.06,13.65,13.65,54.5,54.5,54.5,54.5,38.5,0.06,0.55,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
24,81c190a9-2ca9-44ee-b128-e3e66d01198f,Pool,24,1,0.32,,,,,100,30,60,10,,,,,,,,,,,,,0.68,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
25,d5ce279e-c258-4179-a4fd-e2202905c95d,Pool,25,3,0.24,,,0.5,,0.5,40,60,,,,,,,,,,,,,,0.58,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
26,e6350861-6a5e-4bfb-b1e3-b1e7eeca5c6a,Riffle,26,3,0.28,0.1,,,,0.9,40,60,,,0.06,0.06,6.85,19.3,9.65,38.5,9.65,19.3,38.5,27.3,19.3,0.34,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
27,e87eb750-8788-4a47-879d-e57ee42bc995,Pool,27,3,0.29,,,,,100,40,60,,,,,,,,,,,,,,0.48,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
28,6cbe3933-b89f-4ba4-804d-7e53d138b67c,Riffle,28,3,0.2,,,,,100,,,,,4.85,19.3,19.3,13.65,19.3,77,27.3,27.3,9.65,0.06,1.03,0.35,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
29,b7e63cc6-ac9c-491b-bba8-eb111d65f21c,Pool,29,3,0.27,,,,,100,40,60,,,,,,,,,,,,,,0.71,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
30,95c1d106-ab6f-493c-9bd0-93292da52e12,Riffle,30,3,0.44,,,,,100,,,,,0.06,19.3,38.5,19.3,38.5,19.3,77,54.5,1.03,27.3,27.3,0.44,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
31,0a9fc210-dc52-4441-8468-8bedc019dea0,Pool,31,1,0.32,0.4,,0.3,,0.4,30,70,,,,,,,,,,,,,,0.82,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
32,1f725556-c9f8-4648-bb7a-3f788cd90cad,Riffle,32,1,0.36,0.3,,,,0.7,,,,,9.65,38.5,13.65,54.5,19.3,38.5,19.3,54.5,9.65,19.3,0.06,0.5,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
33,5df23c14-9e39-4b69-b19f-63fcd9305ea4,Pool,33,1,0.56,0.1,,0.3,,0.6,30,70,,,,,,,,,,,,,,0.88,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
34,a3665daa-4fb3-4803-a8af-011bbf570184,Pool,34,1,0.32,,,,,,40,60,,,,,,,,,,,,,,1.16,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
35,6dd66357-058d-4f0f-9843-9f077811284c,Run,35,1,0.44,0.2,,0.2,,0.6,40,60,,,,,,,,,,,,,,0.64,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
36,2fea596b-85e4-44da-a998-5fdeb1d77ea3,Pool,36,1,0.47,0.2,,0.1,,0.7,40,60,,,,,,,,,,,,,,0.76,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
37,17db91e7-dd2a-4a09-9837-acdf593054a4,Run,37,1,0.51,0.1,,0.1,,0.8,40,60,,,,,,,,,,,,,,0.62,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
38,9ba85eac-da93-4c33-98b4-a116f5c063dd,Pool,38,1,0.44,,,,,100,60,40,,,,,,,,,,,,,,1.14,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
39,30ece997-93e7-4ed3-a958-0dda8249f5de,Riffle,39,1,0.36,,,,,100,,,,,4.85,19.3,27.3,13.65,13.65,77,19.3,27.3,19.3,27.3,0.06,0.48,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
40,32d74c95-753c-4bc6-b4fe-466b91d3d8c7,Pool,40,1,0.44,,,,,100,30,70,,,,,,,,,,,,,,0.82,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
41,ee03ac6c-f353-4b38-a5f8-bdb6948ced49,Pool,41,1,0.38,0.2,,0.3,,0.5,40,60,,,,,,,,,,,,,,0.94,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
42,73d4bd0d-91ab-4af0-b3ad-97596881c038,Riffle,42,1,0.32,,,,,100,,,,,0.06,19.3,27.3,13.65,4.85,19.3,27.3,38.5,27.3,13.65,19.3,0.54,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
43,74c3ac3b-e53e-4cef-a721-5f72f6a72671,OCA,43,1,0.28,,0.6,,,0.4,100,,,,,,,,,,,,,,,0.94,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
44,90375ef2-9875-49a8-8322-a9c1e139cb72,Pool,44,1,0.36,0.2,,0.3,,0.6,40,60,,,,,,,,,,,,,,0.94,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
45,0d474670-7695-4d50-96f2-aaf53b74b3ee,Riffle,45,1,0.38,0.1,,,,0.9,,,,,0.06,27.3,27.3,3,4.85,1.03,9.65,27.3,9.65,6.85,38.5,0.38,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
46,bb6b6a0a-f52d-49d3-ae87-198865dddb08,Pool,46,1,0.31,0.3,,0.1,,0.6,40,60,,,,,,,,,,,,,,0.92,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
47,7dbefd0a-f0db-48e3-81f7-1147b548cb04,Riffle,47,1,0.36,,,,,100,,,,,0.06,0.06,13.65,54.5,27.3,9.65,54.5,27.3,27.3,13.65,19.3,0.38,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
48,b87acaa2-3772-4a43-b628-f9b6c44a1c8b,Pool,48,1,0.31,0.2,,,,0.8,40,60,,,,,,,,,,,,,,1.01,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
49,b2ae7f37-b5e6-4635-a8e9-2581dc4dc53d,Riffle,49,1,0.42,,,0.1,,0.9,,,,,19.3,13.65,13.65,54.5,19.3,13.65,6.85,13.65,13.65,38.5,19.3,0.64,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
50,8549a35d-c4fa-4baf-855b-d4daa910089d,Run,50,1,0.55,0.2,,0.3,,0.5,40,60,,,,,,,,,,,,,,0.82,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
51,bee5f9cb-1b98-4f53-9fd7-6696324ec19b,Pool,51,1,0.54,,,0.1,,0.9,30,60,10,,,,,,,,,,,,,0.88,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
52,972f6a34-db1d-4007-96a1-88118f183fd0,OCA,52,1,0.4,,,0.2,,0.8,100,,,,,,,,,,,,,,,0.4,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
53,9a4fb90a-4173-4039-a367-9a68441dd665,Riffle,53,1,0.51,0.3,,0.2,,0.6,,,,,19.3,54.5,27.3,77,54.5,13.65,54.5,13.65,19.3,27.3,1.03,0.57,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
54,5620e703-b3d3-45b5-8f70-ddd6c29bf64a,SSC,54,4,0.12,,,,,100,30,70,,,,,,,,,,,,,,0.28,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
55,6accb6ad-6e9f-44f2-94ec-555acf7daf86,Pool,55,1,0.38,0.5,,,,0.5,40,60,,,,,,,,,,,,,,118,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
56,ce6723bd-cae9-4a27-8132-77db5bff5c7f,Riffle,56,1,0.34,0.2,,,,0.8,,,,,0.06,0.06,4.85,38.5,13.65,27.3,154,27.3,109,54.5,0.06,0.42,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
57,f01abc18-b220-4633-aa5b-e2d9cee15db2,Riffle,57,5,0.18,0.1,,,,0.9,,,,,54.5,38.5,54.5,13.65,13.65,38.5,13.65,13.65,13.65,1.03,1.03,0.2,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
58,cdc8658f-9dd9-432e-8ddb-0bcd400f77a5,OCA,58,5,0.16,0.2,,,,0.8,100,,,,,,,,,,,,,,,0.18,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
59,185f9583-55bf-4c8b-bf1d-fb507e2e4df2,Pool,59,1,0.37,0.3,,,,0.7,30,60,10,,,,,,,,,,,,,1.01,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
60,a3b1fea5-9c2d-4033-a3c0-09ec6b3c4d90,Riffle,60,1,0.46,,,,,100,,,,,38.5,77,13.65,38.5,27.3,13.65,19.3,27.3,27.3,54.5,77,0.4,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
61,b3cf33ef-f8b7-4d18-9121-d9bafcfbe789,Pool,61,1,0.36,0.1,,,,0.9,40,50,10,,,,,,,,,,,,,1.03,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
62,337d7b62-1a78-4ca8-b841-5e5be8b7ebed,Pool,62,1,0.43,0.6,,0.3,,0.4,30,60,10,,,,,,,,,,,,,0.68,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
63,547b5b93-6583-445d-b700-548210c2a9f9,Riffle,63,1,0.44,,,,,100,,,,,0.06,1.03,27.3,0.06,77,38.5,38.5,27.3,13.65,27.3,9.65,0.44,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
64,bba9ff60-88e9-4b8b-a81e-0a850ab08db8,Pool,64,1,0.32,0.1,,,,0.9,40,60,,,,,,,,,,,,,,0.64,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
65,3f4ebe86-48e5-4a1b-ac7d-84a3b72ee0cb,Riffle,65,1,0.36,,,,,100,,,,,19.3,13.65,19.3,54.5,27.3,38.5,38.5,27.3,19.3,19.3,13.65,0.36,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
66,9628b9a6-34b8-4a28-9ecc-9f4ba1657500,OCA,66,1,0.27,,0.3,0.4,,0.4,100,,,,,,,,,,,,,,,,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
67,f7ba8435-f3e8-4076-911c-0b1f41e51b7b,Pool,67,1,0.36,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
68,e384bb60-3b3a-4e50-861e-1b5b9016648f,Pool,68,1,0.34,0.1,,0.1,,0.9,40,60,,,,,,,,,,,,,,0.78,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
69,1fc40439-f236-442d-8357-4ddb051cec0d,Riffle,69,1,0.52,0.2,,,,0.8,30,60,10,,,,,,,,,,,,,0.6,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
70,e201d94d-45df-41db-a0f9-289dc2063a6f,Pool,70,1,0.4,0.3,,0.1,,0.7,20,50,30,,,,,,,,,,,,,0.94,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
71,ecf4217c-3377-40b6-a30a-8487c5bad1d6,Riffle,71,1,0.42,,,,,,20,50,30,,,,,,,,,,,,,0.62,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
72,81c2caab-eff5-4cef-988e-5f4c2b759adc,Pool,72,6,0.32,0.3,,,,0.7,50,50,,,,,,,,,,,,,,0.64,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
73,30af7d12-b1aa-40b0-8664-4de9172b5e93,Riffle,73,6,0.28,,,,,100,40,60,,,,,,,,,,,,,,0.34,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
74,053646f0-8d8f-4519-a88e-a160dec1fc70,Pool,74,6,0.4,0.6,,,,0.4,50,50,,,,,,,,,,,,,,0.6,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
75,aac5efd1-0603-4bcd-826b-f1d3be3828ac,Riffle,75,6,0.38,0.4,,,,0.6,40,60,,,,,,,,,,,,,,0.38,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
76,f086d424-8e82-461e-b93c-fcb4c3cebcdf,Pool,76,6,0.26,0.4,,,,0.6,30,70,,,,,,,,,,,,,,0.5,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
77,ff6f1ea1-cd1f-4122-8858-8d5435d0ff67,Riffle,77,6,0.3,,,,,100,30,70,,,,,,,,,,,,,,0.48,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
78,f7d798a5-cd51-449b-8602-b1fd90b1fc51,Pool,78,1,0.42,0.6,,,,0.4,30,60,10,,,,,,,,,,,,,0.76,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
79,ef57196c-b750-4792-a77b-56b8fbd59b66,Riffle,79,1,0.46,0.2,,0.1,,0.8,20,50,30,,,,,,,,,,,,,0.46,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
80,d895ee35-f934-4dda-91fb-f36f09d16d08,Pool,80,1,0.36,,,,,,40,50,10,,,,,,,,,,,,,0.77,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
81,542603d5-7de6-42cf-96c1-8a583a51b503,Riffle,81,1,0.45,0.1,,,,0.9,40,60,,,,,,,,,,,,,,0.45,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
82,9cdb97c4-fb85-45c9-8801-a41bbb32a0a3,Pool,82,1,0.3,,,,,,50,50,,,,,,,,,,,,,,0.98,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
83,f41490a1-4726-49b2-848f-238b7593788b,Riffle,83,1,0.56,,,,,100,40,60,,,,,,,,,,,,,,0.56,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
84,195b3d3f-9dab-4e1c-b848-4615c0cdf3cb,Pool,84,1,0.34,0.1,,,,0.9,40,60,,,,,,,,,,,,,,1.1,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
85,1ef582e9-9a8d-4305-926d-9659390761a8,Pool,85,1,0.46,0.1,,,,0.9,60,40,,,,,,,,,,,,,,1.04,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
86,0ed8d77b-d626-4c47-a433-6a3946dc0ba6,Run,86,1,0.56,0.1,,,,0.9,40,60,,,,,,,,,,,,,,0.56,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
95,d46c9ce2-dcf3-469d-bac5-0822aacca992,OCA,87,1,0.2,0.5,,0.2,,0.4,90,10,,,,,,,,,,,,,,0.25,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
87,e92ebcee-485d-4db3-9fd9-eef44ac87396,Pool,88,1,0.2,0.2,,,,0.8,40,60,,,,,,,,,,,,,,1.02,,,,,,f53043c5-c346-42e9-9d52-3d7de5440459,6/18/2019 16:48,richie@qcinc.org,6/18/2019 16:48,richie@qcinc.org
