Species,SiteName,HabitatReach,M,C,R,pHat,pSE,avgC,Nhat,Nse
Chinook,UpperLemhi_2018,002,1,10,0,0.08340498710232158,0.017720870432488104,5.5,66,14.010824742268042
Steelhead,UpperLemhi_2018,002,7,15,1,0.12582781456953643,0.014621580924813238,11,87,10.158596491228069
Chinook,UpperLemhi_2018,003,2,13,0,0.08340498710232158,0.017720870432488104,7.5,90,19.105670103092788
Steelhead,UpperLemhi_2018,003,10,41,2,0.12582781456953643,0.014621580924813238,25.5,203,23.549473684210522
Chinook,UpperLemhi_2018,004,3,6,1,0.08340498710232158,0.017720870432488104,4.5,54,11.463402061855671
Steelhead,UpperLemhi_2018,004,12,14,0,0.12582781456953643,0.014621580924813238,13,103,12.005614035087717
Chinook,UpperLemhi_2018,005,0,2,0,0.08340498710232158,0.017720870432488104,1,12,2.5474226804123714
Steelhead,UpperLemhi_2018,005,4,8,0,0.12582781456953643,0.014621580924813238,6,48,5.541052631578947
Chinook,UpperLemhi_2018,006,4,10,1,0.08340498710232158,0.017720870432488104,7,84,17.8319587628866
Steelhead,UpperLemhi_2018,006,14,11,0,0.12582781456953643,0.014621580924813238,12.5,99,11.543859649122805
Chinook,UpperLemhi_2018,007,3,1,0,0.08340498710232158,0.017720870432488104,2,24,5.094845360824743
Steelhead,UpperLemhi_2018,007,12,29,0,0.12582781456953643,0.014621580924813238,20.5,163,18.9319298245614
Chinook,UpperLemhi_2018,008,3,0,0,0.08340498710232158,0.017720870432488104,1.5,18,3.8211340206185573
Steelhead,UpperLemhi_2018,008,14,8,2,0.12582781456953643,0.014621580924813238,11,87,10.158596491228069
Chinook,UpperLemhi_2018,009,3,4,1,0.08340498710232158,0.017720870432488104,3.5,42,8.9159793814433
Steelhead,UpperLemhi_2018,009,17,18,2,0.12582781456953643,0.014621580924813238,17.5,139,16.16140350877193
Chinook,UpperLemhi_2018,010,7,4,0,0.08340498710232158,0.017720870432488104,5.5,66,14.010824742268042
Steelhead,UpperLemhi_2018,010,37,24,5,0.12582781456953643,0.014621580924813238,30.5,242,28.167017543859643
Chinook,UpperLemhi_2018,011,0,6,0,0.08340498710232158,0.017720870432488104,3,36,7.642268041237115
Steelhead,UpperLemhi_2018,011,1,4,0,0.12582781456953643,0.014621580924813238,2.5,20,2.308771929824561
Chinook,UpperLemhi_2018,012,3,8,1,0.08340498710232158,0.017720870432488104,5.5,66,14.010824742268042
Steelhead,UpperLemhi_2018,012,3,12,1,0.12582781456953643,0.014621580924813238,7.5,60,6.926315789473683
Chinook,UpperLemhi_2018,013,1,4,1,0.08340498710232158,0.017720870432488104,2.5,30,6.368556701030928
Steelhead,UpperLemhi_2018,013,8,6,0,0.12582781456953643,0.014621580924813238,7,56,6.464561403508771
Chinook,UpperLemhi_2018,014,5,7,1,0.08340498710232158,0.017720870432488104,6,72,15.28453608247423
Steelhead,UpperLemhi_2018,014,8,19,1,0.12582781456953643,0.014621580924813238,13.5,107,12.46736842105263
Chinook,UpperLemhi_2018,015,5,6,0,0.08340498710232158,0.017720870432488104,5.5,66,14.010824742268042
Steelhead,UpperLemhi_2018,015,7,8,1,0.12582781456953643,0.014621580924813238,7.5,60,6.926315789473683
Chinook,UpperLemhi_2018,016,3,10,0,0.08340498710232158,0.017720870432488104,6.5,78,16.558247422680417
Steelhead,UpperLemhi_2018,016,28,11,2,0.12582781456953643,0.014621580924813238,19.5,155,18.008421052631576
Chinook,UpperLemhi_2018,017,1,5,0,0.08340498710232158,0.017720870432488104,3,36,7.642268041237115
Steelhead,UpperLemhi_2018,017,8,24,0,0.12582781456953643,0.014621580924813238,16,127,14.77614035087719
Chinook,UpperLemhi_2018,018,1,2,0,0.08340498710232158,0.017720870432488104,1.5,18,3.8211340206185573
Steelhead,UpperLemhi_2018,018,9,13,1,0.12582781456953643,0.014621580924813238,11,87,10.158596491228069
Chinook,UpperLemhi_2018,019,0,5,0,0.08340498710232158,0.017720870432488104,2.5,30,6.368556701030928
Steelhead,UpperLemhi_2018,019,17,19,0,0.12582781456953643,0.014621580924813238,18,143,16.623157894736842
Steelhead,UpperLemhi_2018,020,11,18,4,0.12582781456953643,0.014621580924813238,14.5,115,13.390877192982455
Chinook,UpperLemhi_2018,021,2,7,0,0.08340498710232158,0.017720870432488104,4.5,54,11.463402061855671
Steelhead,UpperLemhi_2018,021,13,12,0,0.12582781456953643,0.014621580924813238,12.5,99,11.543859649122805
Chinook,UpperLemhi_2018,022,20,22,2,0.08340498710232158,0.017720870432488104,21,252,53.4958762886598
Steelhead,UpperLemhi_2018,022,15,26,2,0.12582781456953643,0.014621580924813238,20.5,163,18.9319298245614
Chinook,UpperLemhi_2018,023,9,22,1,0.08340498710232158,0.017720870432488104,15.5,186,39.48505154639175
Steelhead,UpperLemhi_2018,023,14,24,6,0.12582781456953643,0.014621580924813238,19,151,17.546666666666663
Chinook,UpperLemhi_2018,024,2,5,0,0.08340498710232158,0.017720870432488104,3.5,42,8.9159793814433
Steelhead,UpperLemhi_2018,024,3,23,1,0.12582781456953643,0.014621580924813238,13,103,12.005614035087717
Chinook,UpperLemhi_2018,025,9,8,0,0.08340498710232158,0.017720870432488104,8.5,102,21.65309278350516
Steelhead,UpperLemhi_2018,025,4,11,2,0.12582781456953643,0.014621580924813238,7.5,60,6.926315789473683
Chinook,UpperLemhi_2018,026,8,16,2,0.08340498710232158,0.017720870432488104,12,144,30.56907216494846
Steelhead,UpperLemhi_2018,026,6,11,1,0.12582781456953643,0.014621580924813238,8.5,68,7.849824561403508
Chinook,UpperSalmon_2018,001,12,4,0,0.028166278166278168,0.007253582610517342,8,284,73.14482758620689
Chinook,UpperSalmon_2018,002,45,3,0,0.028166278166278168,0.007253582610517342,24,852,219.43448275862065
Steelhead,UpperSalmon_2018,002,17,0,0,0.4878048780487805,0.24390243902439024,8.5,17,8.7125
Chinook,UpperSalmon_2018,003,38,60,0,0.028166278166278168,0.007253582610517342,49,1740,448.01206896551713
Steelhead,UpperSalmon_2018,003,1,0,0,0.4878048780487805,0.24390243902439024,0.5,1,0.5125000000000001
Chinook,UpperSalmon_2018,004,10,25,0,0.028166278166278168,0.007253582610517342,17.5,621,160.0043103448276
Chinook,UpperSalmon_2018,005,2,0,0,0.028166278166278168,0.007253582610517342,1,36,9.14310344827586
Steelhead,UpperSalmon_2018,005,1,0,0,0.4878048780487805,0.24390243902439024,0.5,1,0.5125000000000001
Chinook,UpperSalmon_2018,006,126,278,10,0.028166278166278168,0.007253582610517342,202,7172,1846.9068965517238
Steelhead,UpperSalmon_2018,006,0,1,0,0.4878048780487805,0.24390243902439024,0.5,1,0.5125000000000001
Chinook,UpperSalmon_2018,007,13,13,0,0.028166278166278168,0.007253582610517342,13,462,118.86034482758618
Chinook,UpperSalmon_2018,010,44,76,2,0.028166278166278168,0.007253582610517342,60,2130,548.5862068965516
Steelhead,UpperSalmon_2018,010,1,0,0,0.4878048780487805,0.24390243902439024,0.5,1,0.5125000000000001
