ObjectID,GlobalID,Length (m),Width (m),Height (m),Estimated Number of Pieces,ParentGlobalID,CreationDate,Creator,EditDate,Editor
47,017f0835-0165-45fe-9358-99cfa39ffaca,37,3.5,1.6,48,4653b8e6-5a99-4ce8-bcce-280f1283d684,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
48,05010cb4-14ff-46fd-b6b4-595047a18455,2.5,2,1,5,4653b8e6-5a99-4ce8-bcce-280f1283d684,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
49,3c1d5f43-a910-4705-8dde-9323589b97de,50,52,,40,4653b8e6-5a99-4ce8-bcce-280f1283d684,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
50,99f64a49-a13d-45a9-8811-2d7ba3936b41,10,5,2,13,24cc5cd9-5d66-471d-9e9b-ce0fe079fc15,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
51,3794fcef-d1b9-40a4-85f0-8ca1ef142b0c,7,4,2.5,10,39acf95d-6054-4e92-ab2a-f1a5b039f368,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
52,229e3d3a-2f03-4682-8bcf-cc24e62ce8cd,4,3,2,5,39acf95d-6054-4e92-ab2a-f1a5b039f368,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
53,8bf69799-3e8c-43bd-9b92-0e21b7b6e8b9,70,3,2,40,39acf95d-6054-4e92-ab2a-f1a5b039f368,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
54,6f78a97f-4635-4224-a48d-f55f37c4d7b7,1.5,8,0.8,10,b3947d2d-5711-49ea-a3eb-c83d48b094c2,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
55,27326c94-94c4-410a-b0bb-0e8ba4e992b9,4.6,2.75,1.1,12,b85c2f64-782a-48bc-86b3-cfd887ad4d34,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
56,2c585431-f9e9-4adb-9acc-420ff318f196,10,5,0.8,12,b85c2f64-782a-48bc-86b3-cfd887ad4d34,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
57,656ac105-6115-4d05-8350-d56a73371bf8,6.5,3.2,1.2,8,7c9822b9-9bcf-4d33-88d5-685b2fc94ba4,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
58,c1e5f0ee-11b2-4972-aa59-4725b1406d54,25,5,2,30,7c9822b9-9bcf-4d33-88d5-685b2fc94ba4,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
59,61da9c2d-8fc2-45dc-8453-3d6123a70c71,10,7,1.5,12,82973cea-5f87-48d0-86a2-0bfc98b92396,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
60,762100bf-4684-4db1-bdd9-5e07b21ce327,12,5,2,8,f64ee2e2-06e2-4fab-9945-7540e9e67e73,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
61,36b5f792-a346-409b-9973-b58f9ff87154,6.5,5,1.75,6,2442c156-3cb3-4754-9ecc-552f6f8402dd,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
62,106cceda-27b2-4c9e-baf0-05f11ff13c89,6,3,2,5,438b3d3b-6381-4f18-bbbc-780dbbcd8eca,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
63,f2008e7b-4696-4be9-a3ff-dd52dd305ff2,20,6,2,16,438b3d3b-6381-4f18-bbbc-780dbbcd8eca,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
64,20d5dcbe-90ad-43c6-9f73-167f5b625e02,20,10,1.5,9,438b3d3b-6381-4f18-bbbc-780dbbcd8eca,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
65,7118d062-f532-4173-8621-378dfcef5cb7,9,3.5,1.5,6,bb2f566c-36c6-491e-a861-328f0ee29e8f,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
66,93127659-24f4-4118-9b76-a2bdb7073dda,6,4.5,1.5,5,a0983de2-6f67-49cc-9e2e-1b7f49585e4b,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
67,719f9f7c-61e2-42a0-a3a1-08ba57f7e15f,9,4.5,1.5,9,fd662252-7c42-41d9-a434-70136bc40945,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
68,55949e30-0c65-4fd5-9599-9d774587da5c,8,4,1.5,6,66777658-10b1-4924-8b4a-1948425fe9d8,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
69,7f192ea8-7f61-453c-964a-7a031ebe5792,6.5,3,1,5,66777658-10b1-4924-8b4a-1948425fe9d8,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
70,1db31a64-b1b2-477f-a1ff-9f4aa48e3441,7.5,3,1.5,8,a4d91bd5-af4b-4be2-88bc-5cb478b5cc1c,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
71,32c8369e-ac31-49cb-a757-1d6be3a6c8b7,7,2,2,5,a4d91bd5-af4b-4be2-88bc-5cb478b5cc1c,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
72,d261c485-af93-4d0f-8e4f-8d8a7d923a40,28,5,2,16,6bc0f5cc-0c56-485e-9921-000c82e51bb5,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
73,4d4f4b3c-dd6f-4ac1-887f-0ee0d935a79e,9.5,3.5,1.5,6,05884d46-d9a9-4397-880d-4dfd48fe5ea6,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
74,2072adbc-fd0b-4160-839b-884c1dfa5e78,8,3,2,5,63991285-092f-4995-8ae5-878d8279d3ac,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
75,d594f3c9-eeda-43cf-b166-af7943153985,11,4,1.5,7,63991285-092f-4995-8ae5-878d8279d3ac,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
76,325a770d-b1f1-48f2-876b-79b4c2d0daa6,10,5,1,10,d7f43156-e784-4192-a0e8-cfa121aa4e3c,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
77,d371d822-a19f-4dc2-8238-44c688d54608,9,3,2,6,d7f43156-e784-4192-a0e8-cfa121aa4e3c,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
78,0006cbc7-6486-4c04-ab13-a4201181f3b1,5.5,2,1,5,d7224532-d216-4a92-bcc8-bd37244b6798,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
79,fa7440fc-bc22-4b0b-b544-75f60d2f532b,25,4,2.25,7,d7224532-d216-4a92-bcc8-bd37244b6798,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
80,fe5cfb99-d8af-4fcd-b673-9d1de1a42e1c,8,3,1.5,,4524f94d-15f7-4480-83a4-2c00cfc5b6ac,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
81,e089e2c0-fd36-4716-a696-3bff588134b1,41,4,1.5,50,8195ea4f-568b-475b-8fb0-a4e40ac38ac4,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
82,1ef8573e-3b8f-4854-92b0-45bc8177929e,20,3.25,1.75,15,3f7a11ee-b57c-468d-838a-c527f38b2b92,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
83,8034536e-1b35-4a36-be7f-55c3a157b9f1,20,4,1.75,20,3f7a11ee-b57c-468d-838a-c527f38b2b92,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
84,00a572a5-f70b-4b26-8ae6-b9c79d20dad0,5,2,1,6,2a029b66-8aa9-4dc5-bdda-bc3885b2d8e1,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
85,4efcdc38-8d51-4650-a2dd-b297d6123467,7,2.75,1.5,6,ee8a4be3-a79d-4605-b52b-ec21b61d0d46,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
86,7ff40911-8af7-4696-b73f-cdac42020315,5,3,1,8,922bc1f9-f210-443f-a385-d492269ab28f,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
87,908992ff-2232-49e4-bcc9-726c8a30f1cd,11,3,1.5,15,922bc1f9-f210-443f-a385-d492269ab28f,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
88,69253861-85ec-43c8-8b66-87a51dfc97fb,15,6,1,10,317d4bcd-6126-456a-a4db-3dcfbf23765b,8/13/2019 8:52:27 PM,richie@qcinc.org,8/13/2019 8:52:27 PM,richie@qcinc.org
